 	Marika	non	ha	mangiato	mai	un	rustico	</S>
a8	0.062000375	0.020662624	0.00833808	0.0067905085	0.010432832	0.019193273	0.051845264	0.82073694
a31	0.0001964478	0.0011933409	0.00011480313	0.00024239288	0.000104106424	0.99808925	4.078142e-05	1.874181e-05
a20	0.03523644	0.028962271	0.04286187	0.6369804	0.088612035	0.16332261	0.0005865598	0.0034377528
a31	0.37306148	0.10482208	0.015302011	0.12020265	0.0065405234	0.37233195	0.00014706855	0.0075923214
a37	0.024998797	0.036469944	0.10399093	0.23666988	0.001002656	0.59569126	6.3397e-06	0.001170213
a14	0.025874328	0.10094893	0.071101874	0.043707903	0.002262198	0.7417907	6.4946296e-05	0.014249099
a10	0.039450828	0.17254965	0.11037223	0.09424122	0.0030387382	0.5337955	1.367912e-05	0.046538085
a31	0.04257997	0.20541432	0.18557303	0.24115571	0.049488682	0.2085086	8.317146e-05	0.067196555
a37	0.09058953	0.014945938	0.0068222247	0.037841417	0.0007250791	0.84758335	2.0949468e-05	0.0014716027
a10	0.0045464383	0.004138742	0.005988332	0.027516816	0.00076703005	0.95479876	3.5045447e-05	0.0022087926
a14	0.00280819	0.002264526	0.0019902266	0.0018319236	7.100677e-05	0.98908037	1.8976045e-06	0.001951896
a0	0.0056685954	0.0037376373	0.0013817183	0.0007615931	5.129182e-05	0.987788	1.9334248e-06	0.00060930004
a20	0.0060630874	0.006161581	0.0024446328	0.0017205651	0.00013091136	0.98309785	7.525479e-06	0.00037379272
a33	0.013665465	0.039696984	0.015047158	0.016303018	0.0011660784	0.912699	0.00017759617	0.0012447526
a20	0.034547884	0.17185016	0.060493875	0.09975581	0.0041613504	0.6026795	0.008921213	0.01759019
a31	0.058276076	0.15714821	0.05130863	0.043190874	0.0048789913	0.6798725	0.00083277596	0.0044918917
a0	0.013495394	0.013636255	0.00657002	0.009927145	0.0022948722	0.95158917	0.00024633712	0.0022406643
a41	0.02582235	0.098905094	0.03293733	0.05997524	0.007807605	0.7632738	0.003979437	0.007299063
a31	0.06829587	0.23015264	0.084604494	0.13142297	0.047452483	0.33015352	0.052850105	0.055067897
a37	0.07962792	0.15316106	0.08373889	0.2993011	0.08123485	0.17181188	0.056449898	0.07467436
a31	0.06582516	0.20629075	0.095984064	0.11195358	0.06809264	0.2906681	0.08774541	0.07344028
a18	0.09593884	0.16087952	0.112510554	0.114102	0.109871976	0.17277971	0.124765605	0.109151766
a8	0.09562272	0.15865065	0.11039094	0.107172266	0.10263831	0.1751707	0.12385195	0.12650253
a20	0.108191684	0.13845453	0.1159371	0.11850166	0.112548985	0.14772516	0.12425502	0.13438581
</S>	0.11078437	0.13597527	0.11711432	0.11645232	0.11346304	0.14486755	0.1250815	0.13626164
