 	che	non	li	aspetiamo	</S>
a20	0.051025487	0.07825747	0.117046036	0.52908367	0.22458729
a8	0.037163377	0.03028293	0.005380031	0.91351	0.013663613
a7	0.13984165	0.01372683	0.00011367867	0.7940314	0.05228646
a35	0.17542647	0.012758366	0.0031632432	0.684597	0.12405491
a46	0.42584556	0.054804504	0.0011646572	0.50684357	0.011341633
a31	0.44075704	0.19838853	0.0016813196	0.35183892	0.007334327
a11	0.33652148	0.2112597	0.026951913	0.30557215	0.119694866
a31	0.28067875	0.35027638	0.010450068	0.30537325	0.053221498
a0	0.52146417	0.1774564	0.007279313	0.2872304	0.0065696603
a31	0.2152695	0.09114607	0.016650982	0.6472893	0.029644206
a30	0.14190476	0.09623538	0.057164036	0.4859879	0.2187079
a0	0.07096024	0.01998245	0.009273473	0.6361165	0.26366737
a31	0.04431998	0.031391446	0.060195602	0.40052617	0.46356687
</S>	0.067209736	0.09249425	0.08787665	0.1584405	0.5939789
