 	quest'	anno	che	viene	mangio	quanti	voglio	</S>
a23	0.024294674	0.0055748243	0.001504117	0.002273752	0.11335442	0.09023709	0.096617684	0.6661434
a31	0.00019585589	0.0016457518	0.0001769446	6.748134e-05	0.16348357	0.8340833	0.00034103126	5.975486e-06
a37	0.038263094	0.059609722	0.18170366	0.0669786	0.49387395	0.06287945	0.07588369	0.02080785
a20	0.008040457	0.005299902	0.016253108	0.07890556	0.63261104	0.010843893	0.23538075	0.012665311
a31	0.0075197765	0.012112802	0.065994516	0.12702894	0.20046608	0.017869137	0.43137908	0.13762966
a7	0.0066110967	0.021936743	0.048721485	0.020886002	0.5119659	0.3724005	0.01588746	0.0015908983
a10	0.00083434547	0.055640887	0.025357064	0.012522131	0.8142636	0.03269571	0.045811743	0.012874499
a41	0.0013001824	0.082666665	0.07118965	0.051101997	0.3975945	0.2056604	0.14696667	0.043519855
a37	0.00083471707	0.036787376	0.018418157	0.02794171	0.6042642	0.22087619	0.053703673	0.037173957
a14	0.00042486622	0.0077538323	0.0019309319	0.008353775	0.67508274	0.25078267	0.034507632	0.0211636
a31	0.00027061655	0.0036437546	0.0006536189	0.0049769063	0.5053291	0.41368526	0.05398186	0.017458925
a20	0.00018412764	0.00060982374	0.00011518195	0.00056050677	0.31268165	0.6060455	0.075121425	0.0046818187
a31	0.00015269396	0.00022801118	3.5613073e-05	6.3823965e-05	0.035038333	0.9457632	0.014195325	0.004523006
a37	0.003418321	0.0058478597	0.0023529537	0.002497346	0.04532845	0.8685219	0.045396194	0.026636956
a7	0.0031823544	0.0036907648	0.002383837	0.002928235	0.015150344	0.8523028	0.060475573	0.05988604
a10	0.00077852106	0.0009564491	0.0006334948	0.0010953327	0.027384624	0.9364746	0.020612258	0.01206474
a7	0.00038030258	0.00060938275	0.00033796564	0.0005495316	0.022085983	0.95154387	0.019052021	0.0054410016
a39	0.0014375338	0.0021101963	0.0012128174	0.0015483113	0.020955855	0.91470116	0.037655663	0.020378554
a10	0.0025591217	0.0033803803	0.002451652	0.0033968098	0.024144128	0.8737064	0.05307387	0.03728761
a32	0.0035961026	0.0048424276	0.0036174147	0.0051875417	0.037607435	0.83571	0.06362195	0.045817133
a19	0.00910793	0.011341922	0.008214247	0.010257505	0.115773916	0.62316275	0.11900848	0.10313322
a31	0.010748441	0.01258743	0.00963348	0.011885282	0.09338412	0.63030285	0.11478602	0.11667238
</S>	0.06747101	0.067265674	0.064096786	0.06471271	0.085264355	0.17153777	0.1931018	0.28654993
