 	li	vestono	i	genitori	</S>
a31	0.11019308	0.027091315	0.024096435	0.10185694	0.7367622
a46	0.094266005	0.8275753	0.077801175	0.00015124344	0.00020626781
a18	0.005150877	0.58556366	0.40909994	4.788081e-05	0.00013765253
a35	0.006169195	0.5992436	0.36918008	0.0024562564	0.022950934
a15	0.0010445394	0.9582103	0.03890512	0.00023839377	0.0016017072
a39	0.004023529	0.9749016	0.020835835	4.1387182e-05	0.00019769177
a31	0.0148396585	0.86757934	0.11230587	0.0015409759	0.0037342384
a11	0.053367965	0.73964113	0.17419407	0.007488609	0.02530832
a20	0.09830972	0.71636975	0.08275383	0.0047828355	0.09778385
a31	0.16535942	0.35640433	0.13703394	0.03650175	0.30470052
a39	0.2520318	0.36611077	0.10476023	0.012863045	0.26423413
a20	0.12063122	0.4427074	0.24816209	0.02391759	0.16458169
a46	0.16513374	0.13967432	0.26459464	0.15630554	0.2742918
a31	0.25135195	0.10828672	0.19398575	0.16117758	0.28519797
a15	0.35901138	0.17250772	0.10924738	0.11444835	0.24478525
a24	0.045661647	0.13233165	0.33837608	0.20907271	0.2745579
a20	0.19832657	0.16556811	0.21241207	0.18586655	0.23782672
a31	0.2517734	0.13692364	0.18989706	0.20052193	0.220884
a13	0.22107802	0.1670963	0.18631841	0.19818024	0.22732705
a46	0.15254563	0.16009958	0.23308484	0.22581363	0.22845627
a14	0.17473458	0.16948006	0.21502231	0.20302725	0.2377358
a20	0.2045951	0.1839093	0.19561961	0.19812419	0.21775173
a31	0.18072966	0.18285412	0.21062163	0.20518452	0.22061002
</S>	0.20271844	0.19342643	0.19236241	0.19714327	0.21434952
