 	le	melanzane	vogliono	girate	</S>
a31	0.44529992	0.1317173	0.0841479	0.08140291	0.25743192
a35	0.36608025	0.63104326	3.3992394e-05	0.0026450327	0.00019748301
a41	0.124303415	0.7873731	0.0017575707	0.081801616	0.0047642137
a10	0.19207935	0.43192723	0.00090063346	0.20173022	0.17336251
a18	0.041096743	0.85572344	0.002271274	0.063111864	0.037796672
a35	0.013538141	0.95799965	0.0050575985	0.019898612	0.003506067
a31	0.022719834	0.9533179	0.013730761	0.00972943	0.0005021776
a34	0.09260634	0.89503795	0.007551256	0.0040489333	0.0007554897
a8	0.07407913	0.50890326	0.15429763	0.07656314	0.1861568
a31	0.06716172	0.17105816	0.1358084	0.21250074	0.41347095
a8	0.09805116	0.1807228	0.2593054	0.15508719	0.30683348
</S>	0.079305954	0.110025436	0.1541707	0.23179856	0.4246993
