 	è	pericoloso	di	nuotare	nella	notte	</S>
a31	0.36366114	0.0052387477	0.007925519	0.01337024	0.025970375	0.1379619	0.44587213
a20	0.8812487	0.01916988	0.023796767	0.030438153	0.03504456	0.008971231	0.0013308297
a31	0.0017837664	0.029538637	0.097028516	0.7789683	0.021771766	0.070859306	4.975716e-05
a37	0.5817936	0.012935758	0.34218973	0.0069359145	0.027943967	0.025584664	0.0026162528
a31	0.2576874	0.01380793	0.40098426	0.25787583	0.045647506	0.02217958	0.0018174837
a30	0.80167377	0.009470461	0.16888148	0.0041809888	0.0075096916	0.0065351035	0.0017485475
a13	0.7139359	0.008910499	0.21158937	0.036478806	0.020507382	0.006807761	0.0017701496
a20	0.9832032	0.004763977	0.0029405402	0.0011364493	0.0011202621	0.005824691	0.0010109206
a41	0.82384694	0.02180452	0.018624445	0.027107546	0.02411909	0.0755112	0.00898628
a33	0.16389275	0.06329586	0.069119014	0.18676929	0.13827509	0.30568925	0.072958715
a31	0.12833995	0.0071633835	0.010808292	0.020879036	0.10318947	0.6732027	0.05641718
a41	0.083464526	0.13066156	0.04680882	0.051738773	0.15618946	0.47935155	0.05178527
a0	0.107624836	0.13953215	0.043972198	0.03195591	0.09825668	0.44062304	0.13803524
a31	0.1589773	0.16502984	0.06161448	0.063725114	0.081577666	0.4374693	0.031606264
a24	0.080523156	0.25820148	0.07196576	0.09367362	0.12684293	0.2364388	0.13235418
a31	0.046795677	0.10278729	0.036064465	0.042127214	0.084080614	0.3478198	0.34032488
a20	0.08823991	0.28317457	0.06701169	0.11559869	0.13460036	0.19956602	0.11180876
</S>	0.03139025	0.042456023	0.018684685	0.031216206	0.12627995	0.40385315	0.3461198
