 	l'	ho	sentito	quando	veniva	</S>
a31	0.483852	0.19222823	0.016097637	0.014433131	0.03289685	0.26049212
a46	0.022179503	0.046060417	0.12988734	0.51674414	0.28065005	0.0044785864
a41	0.17753546	0.21333756	0.3773454	0.23052104	0.0011995895	6.0946903e-05
a31	0.08333783	0.25285384	0.37188098	0.21238849	0.036402863	0.043135926
a24	0.26300493	0.49825457	0.22343497	0.014210603	0.0008645848	0.00023029378
a31	0.03703472	0.27140802	0.67039895	0.018216347	0.0005638069	0.0023780752
a15	0.56315684	0.33132687	0.010173431	0.07285612	0.01252392	0.009962815
a46	0.026008338	0.08426629	0.06565019	0.7300005	0.028189085	0.06588558
a31	0.12315812	0.3140026	0.02331884	0.35071838	0.045887686	0.14291443
a0	0.38751495	0.32581654	0.05653016	0.09383211	0.03765196	0.09865421
a41	0.34333378	0.43280515	0.035322893	0.045791417	0.035011727	0.107734956
</S>	0.20730421	0.2737773	0.082323514	0.07441481	0.08425004	0.2779301
