 	vado	cercando	una	macchina	che	consuma	poca	benzina	</S>
a31	0.3105933	0.008185267	0.0084028235	0.0047328896	0.008524573	0.039836477	0.099576905	0.049557067	0.47059077
a8	0.020230925	0.0027262224	0.0066064843	0.08322974	0.06495881	0.19071954	0.6264493	0.0025410121	0.0025379385
a31	3.4740453e-06	0.014879097	0.0026395016	0.123665474	0.75751764	0.09464398	0.0065613543	2.2444085e-05	6.699914e-05
a10	0.00015814223	0.0013179468	0.01878291	0.14553568	0.1164493	0.44862637	0.23330435	0.007945462	0.027879756
a17	0.00027571534	0.004778643	0.010057917	0.10350154	0.25327486	0.5669521	0.054348145	0.0012432608	0.005567781
a20	0.00012553357	0.0014566357	0.026475232	0.12937653	0.09172455	0.4036604	0.02913299	0.05428812	0.26376003
a31	4.868131e-05	0.0025860989	0.03561863	0.13016018	0.052928638	0.3219462	0.030408304	0.15793617	0.26836705
a29	0.00025081157	0.057585996	0.0004389832	0.004142449	0.021050736	0.68746996	0.2232034	0.0018884061	0.00396933
a31	0.0012126804	0.059012882	0.0023896736	0.0037605206	0.032411557	0.590685	0.2790649	0.010129672	0.021333097
a17	0.0005465959	0.0066447556	0.00089156564	0.05740932	0.04221652	0.22158344	0.6564843	0.006016883	0.008206672
a31	0.0034525213	0.00663019	0.0017921114	0.008838909	0.02337128	0.23763616	0.7117737	0.0026954194	0.0038097224
a17	0.00060958305	0.0010071665	0.0007024439	0.009480715	0.0111216465	0.16232266	0.7926898	0.0061291535	0.015936842
a31	0.003329865	0.003250087	0.0035646576	0.010691357	0.0076588024	0.099323414	0.86431104	0.002168095	0.005702644
a17	0.001196554	0.0016129152	0.0014684218	0.010014803	0.014366547	0.15010814	0.7760754	0.011946573	0.03321067
a31	0.0068026106	0.0061101383	0.008113136	0.021596069	0.0101696905	0.08851051	0.84224594	0.0038820629	0.012569825
a17	0.0022709116	0.0029226567	0.002951428	0.015543836	0.023527525	0.14578645	0.7357943	0.018800475	0.0524024
a31	0.014435558	0.013880687	0.017689582	0.040113498	0.016797362	0.084170274	0.7800474	0.007359937	0.025505716
a24	0.004029104	0.0051131696	0.0053371866	0.023436792	0.036947917	0.14552882	0.6838981	0.024999162	0.07070977
a31	0.011577974	0.01084613	0.014604336	0.039912652	0.017765366	0.07826734	0.7866616	0.008977055	0.03138755
a17	0.0041610445	0.0053719277	0.005835022	0.0264685	0.040227223	0.15234156	0.6432539	0.03341168	0.08892905
a23	0.039271343	0.047559857	0.04292432	0.070453204	0.038163412	0.08664272	0.55868477	0.023999086	0.09230127
a8	0.014360644	0.017507521	0.013407822	0.031850882	0.027961042	0.13107534	0.65719426	0.024126785	0.08251569
a31	0.008252285	0.02899839	0.02463386	0.019777786	0.010049464	0.06661769	0.8318255	0.0045813816	0.0052636922
a20	0.08875239	0.13957652	0.101069026	0.12963197	0.0950599	0.075226836	0.26545736	0.027988821	0.07723718
a31	0.030874996	0.06653302	0.04902526	0.056271564	0.016745064	0.06883052	0.66145235	0.018396748	0.031870447
a46	0.06099065	0.09397249	0.06046006	0.06379744	0.10057403	0.09014538	0.36579317	0.037356295	0.12691048
a31	0.039624136	0.10488629	0.05067908	0.06274285	0.021926899	0.08396307	0.5207613	0.04041506	0.07500117
a8	0.06023379	0.10556671	0.059295315	0.06331427	0.11273003	0.092181474	0.28880113	0.050461784	0.16741553
a31	0.037752423	0.100065306	0.04984527	0.07384661	0.028225362	0.0762889	0.49732763	0.048637517	0.08801104
a28	0.062083766	0.12690865	0.059343547	0.0635558	0.11422198	0.09094489	0.22858049	0.060690958	0.19366989
a15	0.042615812	0.10725288	0.053552616	0.0765685	0.03337599	0.07336604	0.4627829	0.053675126	0.09681012
a31	0.063630775	0.16596524	0.04714607	0.04300689	0.02288771	0.10046583	0.39353433	0.056491606	0.1068715
a19	0.09567227	0.21916357	0.082038805	0.055951685	0.06574863	0.068152286	0.24777898	0.054614406	0.11087936
a31	0.039958477	0.12668028	0.05663581	0.07221785	0.023266664	0.078779496	0.47423387	0.04741423	0.080813386
a24	0.056257837	0.107103705	0.05091874	0.0417824	0.06673333	0.08134092	0.33900583	0.05342634	0.20343095
a37	0.045625977	0.13543035	0.046170585	0.04986901	0.020913653	0.114631295	0.44525486	0.056493036	0.08561123
a35	0.050721005	0.10111579	0.039790653	0.029950835	0.033085026	0.110455096	0.3931232	0.06543836	0.17631999
a37	0.04689202	0.20222637	0.050365977	0.059448037	0.019899575	0.109829515	0.37852052	0.055392217	0.07742579
a31	0.05805989	0.23820107	0.061401412	0.04803081	0.0150630865	0.07080657	0.43222246	0.03623668	0.03997799
a24	0.0616804	0.15318869	0.05034006	0.040555518	0.025352629	0.09409229	0.39374033	0.066114865	0.11493519
a37	0.042599272	0.1442787	0.02915676	0.03872779	0.020866789	0.12360317	0.367904	0.09418921	0.13867421
a38	0.04955719	0.14235447	0.033478517	0.03700606	0.020836586	0.1005672	0.3975955	0.08368173	0.1349228
a31	0.054949194	0.25967714	0.04528506	0.05987179	0.021954967	0.116224766	0.28369617	0.070871376	0.08746957
a46	0.06557605	0.14576401	0.053046383	0.033431057	0.03956988	0.07240631	0.38161284	0.05897807	0.14961542
a20	0.025720328	0.05015321	0.016748862	0.02575582	0.028747717	0.18351583	0.31419176	0.15737982	0.19778669
a24	0.040340845	0.051431067	0.059105977	0.11905102	0.046804592	0.07792739	0.40633696	0.076080106	0.12292199
a31	0.033706523	0.06205399	0.1081336	0.25282136	0.05347307	0.064430624	0.29484385	0.053572502	0.07696451
a8	0.08515139	0.11623197	0.08439581	0.09280653	0.11078479	0.10377219	0.14190932	0.09988757	0.16506036
</S>	0.026470706	0.031495538	0.026544522	0.029814314	0.029352702	0.1056717	0.4674127	0.10449278	0.17874503
