 	il	morto	si	piange	</S>
a20	0.19049275	0.0066287415	0.023444787	0.15919785	0.62023586
a31	0.00019312251	0.99609214	0.003621937	2.927592e-05	6.355545e-05
a18	0.3331992	0.6520116	0.012653165	1.6882215e-05	0.002119264
a15	0.6205359	0.37685677	0.0021558728	2.1999538e-05	0.0004293879
a31	0.56901765	0.32937145	0.09830331	0.000103123355	0.0032045206
a15	0.020137243	0.9791975	0.00018979359	3.173188e-05	0.00044363807
a31	0.006119314	0.99277085	0.00060586643	5.818115e-05	0.00044581713
a29	0.0038602042	0.99554753	2.3273928e-05	7.4076976e-05	0.0004948517
a31	0.0027830175	0.984766	0.012241575	3.5737154e-05	0.00017370592
a0	0.10690791	0.891402	0.0010415548	0.0001647715	0.00048368753
a31	0.0046641217	0.9916289	0.00029170394	0.0010158356	0.002399451
a13	0.19311376	0.7936434	0.0067802975	0.0019917146	0.0044708224
a18	0.16520497	0.75896364	0.01574734	0.018270895	0.041813165
a41	0.1141546	0.8082435	0.007839347	0.02180699	0.047955554
a31	0.05044663	0.92762065	0.0014122346	0.008335232	0.012185263
a18	0.31520474	0.48369136	0.10782428	0.034687854	0.058591746
a31	0.36917615	0.30112895	0.038191624	0.10126458	0.19023868
a46	0.20423652	0.34656692	0.26042056	0.078844495	0.109931536
a31	0.4126744	0.093033575	0.046341952	0.1799759	0.26797414
a0	0.32205942	0.23903589	0.15398474	0.12980796	0.15511195
a31	0.23702349	0.15986322	0.15191537	0.19308504	0.25811282
</S>	0.32543156	0.23363006	0.14998852	0.132541	0.15840888
