 	deve	essere	bianco	</S>
a31	0.037353694	0.20569922	0.17997064	0.5769764
a11	0.9847127	0.0024097397	0.012067512	0.0008100303
a31	0.99772006	2.0713427e-05	0.00058390625	0.001675343
a37	0.9969392	0.001131412	0.0018205952	0.00010883833
a31	0.5635989	0.00018111138	0.045456555	0.3907634
a37	0.9854366	0.011207464	0.0026762863	0.00067974796
a31	0.8128222	0.0063387863	0.1404084	0.040430635
a20	0.8660274	0.085390724	0.010346176	0.038235743
a31	0.75690067	0.1773601	0.03166987	0.03406938
a0	0.63039565	0.084509045	0.06370469	0.22139058
a31	0.5991737	0.09380585	0.090832904	0.2161875
a20	0.41771293	0.21846418	0.1504646	0.21335828
a18	0.29295558	0.22506112	0.22257318	0.25941014
</S>	0.2514229	0.24927609	0.24702974	0.25227123
