 	l'	ho	sentito	che	veniva	</S>
a41	0.57223564	0.23379943	0.019310981	0.010046534	0.04665325	0.11795412
a31	0.00506219	0.04961573	0.073333666	0.82682246	0.042948134	0.0022178853
a24	0.41268653	0.2689639	0.076313615	0.21831323	0.0098902425	0.013832444
a15	0.16807562	0.12958357	0.5717534	0.036122724	0.017551526	0.07691317
a28	0.034604155	0.1380209	0.7719677	0.045927115	0.003595623	0.005884532
a0	0.040075976	0.27495277	0.54051775	0.089533724	0.029721403	0.02519839
a31	0.039800927	0.46906158	0.4499842	0.04029768	0.0001245321	0.0007310849
a11	0.07427461	0.69089824	0.21781941	0.016304782	0.00014177148	0.0005612055
a31	0.11257241	0.6144396	0.1316897	0.12599495	0.0036372554	0.011666009
a39	0.24339788	0.52344763	0.046314664	0.09433533	0.008156536	0.084348045
a20	0.09205324	0.27938238	0.07118671	0.12042863	0.022804037	0.414145
</S>	0.27239648	0.45738494	0.033063665	0.022655966	0.01924658	0.19525236
