 	non	aveva	da	stare	</S>
a37	0.10599923	0.14267103	0.24927372	0.3986978	0.10335828
a38	0.024737773	0.026735058	0.086886086	0.20884216	0.6527989
a24	0.001603033	9.823234e-05	9.429521e-05	0.80927736	0.18892708
a8	0.00027971162	7.799653e-05	0.00041139658	0.5199333	0.47929755
a17	0.008887381	0.0011599397	0.00011804143	0.2511684	0.7386662
a31	0.0025867652	0.0021680987	0.0007003094	0.20418231	0.7903625
a20	0.0014074456	0.0026849932	0.0017936924	0.21220437	0.78190947
a8	0.0743708	0.027197935	0.01344076	0.69088864	0.19410193
a31	0.035082217	0.018962564	0.024848945	0.7662482	0.15485807
a20	0.024230829	0.024773413	0.076080404	0.82285565	0.052059673
a31	0.25023207	0.20874281	0.21790688	0.2784096	0.044708665
a8	0.043953657	0.09218289	0.19186126	0.33704442	0.33495775
a31	0.024354855	0.038193204	0.100528814	0.31280145	0.52412164
</S>	0.07298271	0.08706079	0.18314846	0.30100045	0.3558076
