 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.09719437	0.0917328	0.07463018	0.025030041	0.011742471	0.00898988	0.69068027
a31	0.030025467	0.13853915	0.07466232	0.04660698	0.70403004	0.0047112317	0.0014247997
a6	0.013707746	0.0042239833	0.04348252	0.35828316	0.54243904	0.0011372042	0.036726404
a31	0.24319279	0.03898921	0.27634567	0.41451854	0.016676517	0.00017503374	0.010102322
a37	0.000635512	0.002484083	0.31138772	0.68396056	0.001415246	7.2975716e-05	4.3903197e-05
a31	0.06997588	0.051312808	0.2377167	0.37580243	0.219655	0.00031887944	0.045218315
a17	0.002197146	0.006682024	0.7357373	0.2537941	0.00024935952	0.0008477451	0.0004922664
a31	0.00020914004	0.0047202227	0.67578715	0.31662062	0.0026181466	3.132334e-05	1.3351999e-05
a17	0.015055989	0.014955586	0.59579146	0.35171884	0.0046873153	0.0052595614	0.012531279
a31	0.0022700855	0.00920757	0.57467276	0.41182536	0.00068659487	0.0004892405	0.0008482908
a8	0.07577676	0.045123443	0.53182185	0.19614476	0.07029893	0.01697055	0.06386382
a31	0.07100565	0.20722008	0.43583927	0.23753391	0.023787042	0.004503356	0.020110708
a28	0.123669825	0.10058275	0.36901417	0.24289976	0.05675911	0.044757105	0.062317245
a0	0.12932745	0.38672397	0.3088188	0.10772294	0.0270915	0.014127183	0.026188157
a41	0.12623477	0.48270342	0.2680154	0.06528009	0.018980388	0.008925654	0.029860169
a39	0.08191132	0.6265263	0.19169517	0.044235405	0.0073525137	0.0039491947	0.04433017
a31	0.09181359	0.6489646	0.18639521	0.035482734	0.003208165	0.0010950201	0.033040754
a39	0.19023228	0.36872602	0.23424153	0.097884715	0.047620106	0.020960292	0.040335033
a31	0.08655109	0.6918144	0.14224592	0.02960657	0.01039907	0.01089277	0.028490288
a18	0.20135416	0.30908728	0.17779815	0.14846443	0.05124573	0.062277105	0.049773198
a31	0.12046915	0.61370957	0.14144196	0.03561435	0.024039159	0.023156893	0.041568913
a18	0.1732683	0.28980586	0.15751964	0.16513522	0.05081362	0.09560521	0.067852065
a31	0.11767277	0.6074297	0.13533542	0.03611725	0.026341818	0.027056605	0.050046466
a39	0.15010367	0.28805876	0.14589562	0.16783325	0.050821055	0.116232075	0.08105567
a41	0.09051829	0.5930068	0.12554044	0.042289823	0.033617303	0.04128655	0.073740765
a8	0.12704948	0.30868742	0.12187529	0.109885074	0.0961408	0.11103265	0.12532932
a31	0.12545615	0.20036596	0.14512503	0.11505807	0.11480073	0.12707718	0.17211686
a46	0.10228661	0.16503742	0.114445925	0.21000943	0.0902127	0.19882497	0.119183026
a8	0.124076396	0.20641735	0.13160989	0.11147812	0.11806843	0.13265376	0.1756961
</S>	0.14104305	0.14590627	0.14123821	0.14231963	0.14087045	0.14372505	0.14489734
