 	sta	e	dorme	nel	letto	</S>
a33	0.03596539	0.048965804	0.05981272	0.030491427	0.021622855	0.8031418
a31	0.16148695	0.183887	0.037301626	0.4829722	0.11996057	0.014391609
a37	0.16062333	0.45499614	0.07181721	0.30884996	0.00087494485	0.002838349
a31	0.06552814	0.04722534	0.008651888	0.7890499	0.024002535	0.065542206
a13	0.3286394	0.32211915	0.011191207	0.21733654	0.10922314	0.01149058
a20	0.025243616	0.21474679	0.027369354	0.6734768	0.006157846	0.053005617
a24	0.047763966	0.10201469	0.012949221	0.7891483	0.033439726	0.014684056
a28	0.0328671	0.08941988	0.1083772	0.5508305	0.21377273	0.0047326386
a31	0.046601493	0.19347529	0.046642266	0.43152145	0.27751487	0.0042446014
a35	0.21873	0.67375386	0.013371048	0.016614722	0.029382674	0.048147686
a18	0.2019504	0.6288424	0.012040042	0.023461075	0.07248096	0.061225135
a31	0.24513811	0.55138725	0.01174293	0.019613938	0.10797691	0.064140856
a13	0.24198197	0.28781325	0.05574068	0.080754906	0.16741887	0.16629037
a39	0.21160375	0.33938566	0.0648196	0.08456296	0.1298657	0.16976236
a31	0.18452911	0.21694541	0.076068774	0.098651566	0.2357284	0.18807676
a21	0.26727316	0.2419554	0.06845316	0.08916437	0.16436288	0.16879101
a31	0.1743481	0.20352513	0.11208811	0.13821143	0.18398961	0.18783762
</S>	0.22950621	0.19480056	0.1292992	0.12919639	0.15580761	0.16139004
