 	se	nella	nella	pasta	voleva	sale	l'	avevo	messo	</S>
a31	0.01922476	0.0061709927	0.0033745954	0.004655694	0.0032680887	0.0023194384	0.0061856764	0.050646145	0.09939059	0.8047641
a39	0.0025109854	0.00082661957	0.00019042825	0.0005443401	0.02484986	0.107671194	0.031398315	0.14747578	0.6837704	0.0007620814
a31	0.00037768728	0.0015650919	0.004637349	0.054068457	0.0979424	0.828351	0.006535371	0.00234704	0.003962729	0.00021287013
a14	4.219828e-05	0.00030422138	0.00015279395	0.00019489812	0.0101115005	0.090310365	0.13461252	0.5273604	0.2029479	0.033963248
a41	0.00037346286	0.0016115227	0.019634008	0.07214582	0.37067974	0.29125997	0.030095581	0.04351688	0.16934644	0.0013365689
a33	0.0006517014	0.0015008413	0.00710787	0.020768229	0.018190386	0.047437664	0.056125045	0.26368964	0.56875217	0.015776418
a20	0.0007581786	0.0029017497	0.0044283043	0.018929614	0.043741185	0.14029992	0.18880598	0.27859852	0.32030064	0.0012359062
a31	0.03965511	0.097418524	0.015483585	0.076049425	0.004391868	0.029250791	0.068578325	0.35781038	0.25129876	0.060063276
a10	0.0010108203	0.012513618	0.0018322504	0.017077634	0.16513811	0.029494183	0.08987812	0.5175249	0.14921267	0.016317636
a31	0.0025261175	0.009400982	0.0018271504	0.0053123613	0.059788465	0.022507116	0.14731523	0.5322572	0.20566678	0.01339856
a46	0.018483585	0.0063604563	0.0027635663	0.017078293	0.035435136	0.13950008	0.094146386	0.39697072	0.24996619	0.039295528
a31	0.012388935	0.01050387	0.0030330007	0.0032967464	0.005458959	0.02061707	0.05597442	0.6252952	0.20054215	0.06288957
a39	0.06188098	0.012786727	0.013918142	0.042895433	0.033893622	0.10370726	0.09141858	0.27287212	0.28292364	0.0837034
a28	0.030661926	0.032256052	0.015165761	0.013552922	0.02058454	0.033845987	0.061125364	0.55858856	0.17526051	0.058958404
a21	0.006020555	0.009357922	0.003225873	0.005015474	0.012466304	0.061093405	0.07329083	0.6690976	0.14385739	0.016574655
a24	0.016328638	0.052776236	0.01587333	0.015175685	0.110609345	0.07274027	0.15131126	0.4041317	0.15111557	0.009937937
a46	0.014424377	0.043128215	0.009221121	0.019396428	0.22454174	0.14342877	0.17730795	0.25957084	0.10609828	0.0028822904
a20	0.017882481	0.05730515	0.012270048	0.015026926	0.084595785	0.080581024	0.11808439	0.42672268	0.17602076	0.011510803
a31	0.014016515	0.028509822	0.012238499	0.0115219755	0.24417569	0.037360765	0.16378693	0.28630158	0.19959794	0.0024903268
a14	0.04334685	0.09504642	0.021778045	0.023516757	0.10637794	0.23854959	0.05752928	0.18471307	0.2108878	0.018254291
a17	0.037982475	0.17177849	0.03771983	0.016648348	0.056885924	0.10905231	0.062427532	0.34366265	0.14922068	0.014621667
a31	0.05035917	0.17701122	0.06627307	0.028508969	0.2252454	0.09151861	0.09050313	0.14906067	0.11603434	0.0054854634
a11	0.11112292	0.11722355	0.08790027	0.05744533	0.08861908	0.07175744	0.08193675	0.1878243	0.1527327	0.043437667
a18	0.051575407	0.112360485	0.049719494	0.013883053	0.031078316	0.058691476	0.05942954	0.33059245	0.252048	0.040621765
a6	0.050451994	0.31479585	0.076788776	0.02622447	0.116516136	0.17251067	0.05941886	0.08913705	0.08492791	0.009228245
a8	0.0848038	0.22533184	0.054650154	0.02057916	0.048119616	0.08589775	0.042736966	0.19052124	0.2128347	0.034524728
a31	0.03559841	0.23375112	0.06080481	0.023978176	0.11500076	0.23443873	0.0633917	0.097468734	0.117892645	0.017674834
a24	0.063399255	0.23148988	0.09339774	0.03416756	0.10604708	0.17654644	0.07886855	0.1145829	0.086849116	0.014651457
a37	0.07808504	0.1756086	0.07509694	0.019125856	0.048868194	0.09617879	0.07887886	0.20717894	0.18424907	0.036729682
a38	0.05774504	0.3649014	0.09431155	0.028572565	0.061614826	0.13695866	0.05721332	0.09380456	0.062500656	0.042377427
a31	0.060593624	0.28962734	0.08772156	0.028142396	0.074371964	0.16779298	0.06986093	0.113267936	0.079613574	0.029007668
a11	0.1360578	0.32783753	0.1764797	0.042463113	0.07406835	0.054570224	0.044209506	0.062645786	0.045451164	0.036216788
a31	0.09774845	0.24332082	0.118306994	0.026955964	0.045978528	0.057404086	0.061862614	0.15551932	0.11653904	0.0763642
a8	0.18561676	0.28853917	0.22330885	0.053169336	0.08127019	0.028706515	0.029286383	0.035318706	0.03370906	0.041075032
a10	0.06001521	0.11712726	0.07155013	0.016516387	0.02200689	0.021388963	0.045107346	0.25716063	0.22076352	0.16836369
a18	0.06682652	0.31671083	0.10773448	0.05158598	0.06420469	0.11132386	0.059776906	0.08465067	0.0690597	0.068126366
a31	0.07184387	0.41568723	0.11004305	0.035563394	0.057633664	0.107424416	0.04884565	0.069506474	0.04836561	0.035086706
a11	0.13713446	0.3247491	0.18078597	0.050907794	0.06446859	0.044452224	0.043103147	0.049554393	0.04929073	0.05555357
a10	0.07566933	0.19489998	0.09874959	0.03567555	0.04127746	0.041077346	0.04718964	0.123315684	0.14138483	0.20076063
a1	0.090851866	0.34731624	0.1291433	0.05108951	0.06473698	0.078433715	0.04621234	0.059398748	0.05870516	0.07411225
a41	0.066214845	0.14615336	0.075288706	0.021059003	0.02542503	0.023949794	0.038620565	0.18208587	0.19745716	0.22374572
a31	0.06214751	0.22285528	0.086111955	0.066469476	0.07821882	0.13751468	0.06309309	0.085172705	0.08542765	0.112988845
a8	0.10260892	0.2343935	0.12635131	0.0728695	0.079133354	0.08097766	0.071653344	0.07762542	0.07461776	0.07976922
