 	non	sono	ancora	vestita	</S>
a31	0.27555308	0.17163214	0.06096199	0.06772867	0.4241241
a23	0.029201832	0.0072442912	0.95328134	0.009986268	0.0002862167
a31	0.0658367	0.006844781	0.89806557	0.02405633	0.005196584
a7	0.07547111	0.01389102	0.8902615	0.01954082	0.00083557697
a31	0.018223217	0.0010364236	0.95198464	0.012366917	0.016388724
a13	0.38163048	0.0034322299	0.59198487	0.015377977	0.0075743417
a31	0.0599156	0.0008087798	0.9240225	0.000995846	0.01425724
a37	0.031158278	0.0046381243	0.8549109	0.08737005	0.021922586
a18	0.030297793	0.005388059	0.7556339	0.15932725	0.049352996
a31	0.10920196	0.05878713	0.39297095	0.14564756	0.29339236
a46	0.12324151	0.08759206	0.13522735	0.33049145	0.32344767
a8	0.11069008	0.12739183	0.29316708	0.16435339	0.30439758
</S>	0.16805474	0.1684241	0.25315928	0.18538493	0.22497693
