 	da	da	un	famoso	poeta	</S>
a31	0.03248224	0.007893787	0.0025434196	0.023229823	0.8040593	0.12979136
a37	0.019751908	0.021110043	0.9555631	1.8820063e-05	0.00062960765	0.0029265254
a31	0.03173183	0.04972565	0.91851807	1.7638959e-05	5.497019e-08	6.681159e-06
a28	0.1889851	0.014131455	0.69796664	2.7857634e-05	0.0042629354	0.09462604
a31	0.0114840735	0.0045648376	0.98282284	5.7287863e-05	1.3009084e-05	0.0010579464
a20	0.25181037	0.032840915	0.124388754	0.00034641926	0.014700967	0.5759126
a13	0.26508406	0.08906249	0.5414624	0.001876405	0.006346216	0.09616841
a39	0.43605372	0.43126464	0.027763598	0.0027966527	0.011406378	0.090715095
a31	0.4034235	0.4939924	0.074259266	0.007119958	0.0034966022	0.01770832
a35	0.55000144	0.11821651	0.051839292	0.09214194	0.13784659	0.049954157
a31	0.12437348	0.1924373	0.041776948	0.42908463	0.12667327	0.08565438
a17	0.20316969	0.19723155	0.118439585	0.3194138	0.08567279	0.07607261
a31	0.0890306	0.11582471	0.08291018	0.31153247	0.27685767	0.12384439
</S>	0.2126007	0.18524484	0.120708615	0.23564777	0.11573327	0.13006485
