 	io	non	ho	cosa	da	mangiare	</S>
a31	0.3062244	0.104432315	0.01846831	0.0092454115	0.030336749	0.051088236	0.4802045
a37	0.45355448	0.044511482	0.014421768	0.12620977	0.2769077	0.07788405	0.0065107117
a31	0.20369865	0.117524885	0.3029855	0.30559257	0.0044495543	0.06456386	0.0011849996
a18	0.31784552	0.14478752	0.24788065	0.23258446	0.012858358	0.040284835	0.0037586552
a31	0.096732646	0.05715122	0.2715028	0.39344686	0.03236744	0.12825893	0.020540083
a11	0.6444792	0.034446828	0.23102921	0.04958059	0.012014569	0.02267481	0.0057747993
a37	0.6310027	0.017591992	0.21662231	0.0727878	0.015182191	0.029534621	0.017278267
a15	0.89334947	0.036208354	0.02798939	0.0066135987	0.009064363	0.022879606	0.0038951412
a39	0.86315376	0.052145954	0.013350847	0.010317817	0.03394309	0.02499262	0.0020959717
a31	0.22188573	0.20262307	0.15892522	0.023472676	0.10296046	0.2619569	0.028175917
a39	0.33976102	0.2270465	0.059505593	0.018813476	0.1540634	0.14719743	0.053612594
a20	0.10659537	0.13071452	0.07182867	0.016258806	0.3222996	0.26316068	0.08914228
a24	0.33904043	0.341353	0.12769403	0.014382453	0.059066266	0.0629021	0.055561755
a31	0.43199784	0.36323714	0.096256524	0.016339958	0.039966054	0.030859582	0.02134289
a46	0.18629001	0.16587506	0.1293804	0.11332449	0.12436508	0.14568676	0.13507815
a31	0.33873385	0.19209504	0.10280695	0.049269486	0.06343532	0.09065313	0.16300625
a3	0.14536907	0.14459479	0.1389767	0.13564937	0.1381076	0.15058324	0.14671923
a31	0.15830941	0.1399404	0.12459216	0.11524781	0.123110555	0.14279766	0.19600199
</S>	0.13942362	0.14416969	0.134964	0.12660958	0.13082756	0.17306137	0.15094422
