 	perché	aveva	lavorato	molto	</S>
a46	0.5835466	0.08943533	0.033530638	0.07036321	0.2231243
a31	0.012348545	0.030292492	0.40391514	0.5461728	0.0072710575
a17	0.017166192	0.038972344	0.6896821	0.2424264	0.011752925
a31	4.5305846e-05	0.0010058911	0.305382	0.6651969	0.028369838
a37	0.004870377	0.011495178	0.5031674	0.47660142	0.0038656816
a31	0.0002725993	0.020555155	0.35177734	0.60272217	0.024672726
a18	0.66520107	0.021371255	0.070850916	0.23467042	0.007906317
a10	0.0044061705	0.006344274	0.68914574	0.28945053	0.010653231
a31	0.052376937	0.020783324	0.24626578	0.62350214	0.057071816
a46	0.2504451	0.014790396	0.03650931	0.25590548	0.44234973
a20	0.09261382	0.041390322	0.111697614	0.3577577	0.39654058
a11	0.12034779	0.05804352	0.12522762	0.33648947	0.3598916
a18	0.2713264	0.047850683	0.08088818	0.30303365	0.29690108
a31	0.22007757	0.03781918	0.07638942	0.34809592	0.3176179
a0	0.2532382	0.14696556	0.15753216	0.21375982	0.22850429
a31	0.27727684	0.13883045	0.15338024	0.20708574	0.22342673
a8	0.19763187	0.17768532	0.18306114	0.21190552	0.22971612
a31	0.1232288	0.14489	0.2171384	0.2576419	0.25710094
a7	0.19890775	0.1883702	0.19103867	0.20465378	0.21702957
a31	0.13870017	0.16368893	0.21785086	0.24095593	0.23880416
</S>	0.20567381	0.18696941	0.18962745	0.20142968	0.21629962
