 	non	so	cosa	scrive	</S>
a46	0.059635777	0.0089444835	0.011081764	0.81505644	0.10528152
a8	0.0021030542	0.06018661	0.9363074	0.0006181965	0.0007847485
a31	0.17953949	0.6653265	0.15512301	2.0561492e-07	1.0756097e-05
a13	0.46620136	0.44261467	0.08409172	8.9371815e-07	0.007091286
a31	0.21966313	0.7085452	0.06985098	1.59858e-05	0.0019246198
a28	0.291692	0.49100775	0.21433112	5.4564967e-05	0.0029146145
a31	0.038623072	0.4712589	0.479447	0.00036115065	0.010309873
a37	0.14856862	0.6641223	0.16030031	0.0036275408	0.02338134
a31	0.020982787	0.30023038	0.6737729	0.001130155	0.0038837877
a11	0.26907182	0.18532602	0.18444405	0.1171973	0.24396075
a31	0.11380129	0.1999478	0.23579614	0.07932618	0.37112853
a20	0.1581675	0.14556515	0.20658971	0.17899084	0.31068683
a31	0.12857431	0.08940547	0.1361109	0.3440407	0.30186868
</S>	0.24419494	0.17660135	0.18714899	0.1692725	0.22278222
