 	era	molto	stanco	</S>
a46	0.14532095	0.07182666	0.34207875	0.44077364
a8	0.012949926	0.98362666	0.0033252358	9.8299824e-05
a37	0.4111503	0.5805397	0.004149676	0.0041603567
a31	0.43132025	0.51286286	0.0029012533	0.052915625
a0	0.869515	0.12567373	0.00082923577	0.0039820233
a20	0.31050664	0.08290436	0.04628203	0.56030697
a31	0.37380794	0.1449327	0.30807278	0.1731866
a39	0.16903411	0.796454	0.018513571	0.015998341
a41	0.022667384	0.91094357	0.04169154	0.024697533
a31	0.019242454	0.9045106	0.04789833	0.02834866
a28	0.050133977	0.7494005	0.05432824	0.14613722
a11	0.05858085	0.5990492	0.053115424	0.2892545
a20	0.07438827	0.49993986	0.079822496	0.34584936
a31	0.11801893	0.540588	0.11705919	0.22433382
a11	0.20575823	0.25293976	0.22743669	0.3138653
</S>	0.2046056	0.2733292	0.22829059	0.2937746
