 	la	macchina	si	è	rotta	e	vuole	riparate	dal	meccanico	</S>
a31	0.013002556	0.007992314	0.022370066	0.007513212	0.007322265	0.009212214	0.033606373	0.10863489	0.30494034	0.088172264	0.39723352
a23	0.04029123	0.014566279	0.0026480102	0.024003828	0.0014387922	0.000709703	0.007701392	0.14085583	0.1536757	0.6029721	0.011137126
a31	0.0037210863	0.018956449	5.526598e-07	0.002926162	0.00022028128	0.08415071	0.23511207	0.62602895	0.0002413148	0.026530292	0.0021120831
a37	0.00017167634	0.0016020142	4.003227e-05	0.0035991115	0.00023304045	0.004296567	0.0113703115	0.024937369	0.044413824	0.68904245	0.22029358
a39	0.0015509974	0.0018908283	1.4071859e-05	0.09401504	6.8879686e-05	0.00228969	0.048855804	0.027714362	0.0053428765	0.8074893	0.010768156
a17	0.00047858444	0.003422992	3.4843284e-05	0.011860622	0.0007496901	0.0001053204	0.00031293262	0.0023291947	0.014727612	0.8191505	0.14682779
a11	0.00406888	0.03380355	0.000113547445	0.017146919	0.0052821976	0.0010415204	0.0005405149	0.017479727	0.04174555	0.66290355	0.21587415
a31	0.010547536	0.11805242	0.00015312977	0.011969194	0.0028307328	0.0023288939	0.000746301	0.023098107	0.048213776	0.5357204	0.24633951
a20	0.002929993	0.009606756	1.4502621e-05	0.0005704457	8.835645e-05	0.0018647646	0.010750811	0.031052178	0.23223153	0.64937824	0.061512463
a31	0.0005982797	0.0016717436	6.9599104e-05	0.0003865102	7.961956e-05	0.003122817	0.0311911	0.74442136	0.1122202	0.10044567	0.0057932176
a24	0.0067336205	0.0050602457	0.0010989964	0.0025880872	0.00037398815	0.0006055567	0.0009630332	0.16345465	0.59342617	0.18728805	0.03840752
a31	0.0018166709	0.0038349705	0.0010115481	0.005034939	0.000912936	0.0021336563	0.001895933	0.7401383	0.17633992	0.05697224	0.009908962
a8	0.021665482	0.013188688	0.009961194	0.007506236	0.0033027204	0.0025387253	0.0029762108	0.056599047	0.5239138	0.2042364	0.15411149
a31	0.023656093	0.029346857	0.018154299	0.027706405	0.015164579	0.016308833	0.013405277	0.29762205	0.39010954	0.09662281	0.0719032
a24	0.051902354	0.027456617	0.048543394	0.031643268	0.017241826	0.012739663	0.013008956	0.067370124	0.24954195	0.17406455	0.3064873
a6	0.021092739	0.023343215	0.018474987	0.029706407	0.013549939	0.0149138905	0.011549537	0.19536723	0.4968688	0.07885574	0.096277595
a31	0.030155137	0.033637922	0.01828583	0.018898193	0.010475203	0.010282102	0.0099654505	0.15611172	0.5125183	0.073287226	0.12638286
a20	0.07324103	0.04156086	0.09064404	0.05705084	0.038356073	0.029706115	0.022717202	0.046513826	0.16028954	0.115669996	0.3242505
a31	0.072707824	0.08853534	0.07161364	0.07335317	0.066912375	0.055937137	0.022636024	0.07832285	0.20149617	0.11167137	0.15681407
a23	0.08468963	0.04656347	0.11032725	0.066030115	0.046915244	0.03509737	0.023396216	0.035739806	0.12437878	0.10962998	0.31723213
a28	0.0784869	0.10845322	0.07348564	0.06523382	0.07747845	0.057657763	0.01996312	0.087085284	0.15799125	0.12854792	0.14561665
a31	0.05482378	0.04824985	0.059966646	0.05405541	0.03853584	0.033754952	0.02434062	0.11032121	0.2439306	0.11169064	0.22033048
a0	0.086838774	0.124956764	0.10499559	0.07177415	0.11328677	0.06751618	0.018638462	0.034904618	0.08155928	0.10377394	0.19175546
a28	0.05437031	0.04970342	0.05419461	0.047773696	0.03815308	0.03391962	0.021745855	0.08757881	0.32681915	0.09057213	0.19516937
a35	0.05984255	0.07488663	0.0444841	0.076607555	0.03956558	0.037337463	0.016206091	0.13671002	0.34684336	0.093216404	0.07430017
a8	0.047182232	0.1002218	0.030751528	0.15070261	0.025424132	0.02919359	0.008123298	0.1651685	0.33313826	0.08207621	0.028017802
a20	0.048577785	0.27419648	0.035114486	0.14870346	0.02935935	0.027464647	0.0049434314	0.13723238	0.17234874	0.11156765	0.010491505
a31	0.0823231	0.42226452	0.045710504	0.13706581	0.031721253	0.031815294	0.006349856	0.086914204	0.07500423	0.07317961	0.00765162
a37	0.13009429	0.17950289	0.13492595	0.12105831	0.15081562	0.106880456	0.030744372	0.03316254	0.02482159	0.040035475	0.047958527
a31	0.04781091	0.15734288	0.06360951	0.10752184	0.10345482	0.041102536	0.011123703	0.063832045	0.113844156	0.17691448	0.11344315
a37	0.11569602	0.19814683	0.15763842	0.078228764	0.19321668	0.08796554	0.024089253	0.019711051	0.034768205	0.029961778	0.060577467
a19	0.04814429	0.17003775	0.06294584	0.03774581	0.13618843	0.03847061	0.017052453	0.049418725	0.08552042	0.16599338	0.18848227
a35	0.09213017	0.16355985	0.0955462	0.11346457	0.12262199	0.07586665	0.018836139	0.039012153	0.07890929	0.09394262	0.10611037
a20	0.03826204	0.20596549	0.038088012	0.114950605	0.087468825	0.036299918	0.009642565	0.060586147	0.17015773	0.14650701	0.09207167
a31	0.03659924	0.38279465	0.034094535	0.13285975	0.11950247	0.04933202	0.011693469	0.026401043	0.06261514	0.09341773	0.050689977
a39	0.08518064	0.26602316	0.11576736	0.060775854	0.23582016	0.07153023	0.02710909	0.026515173	0.029541023	0.035860594	0.04587672
a31	0.033178147	0.14322323	0.042068496	0.03246823	0.106673054	0.028584661	0.018165775	0.058023356	0.100497946	0.20566398	0.23145309
a28	0.07944567	0.25277174	0.11657539	0.053781576	0.22767308	0.06117683	0.027112799	0.025463754	0.047276046	0.038670313	0.07005281
a20	0.030946517	0.12455686	0.03730336	0.026093004	0.09372627	0.027362503	0.02042668	0.059169497	0.104596116	0.2148905	0.2609287
a8	0.048534352	0.13238429	0.05646235	0.060299415	0.1025888	0.04886391	0.04221453	0.059232228	0.08302778	0.15818657	0.20820574
a13	0.04998959	0.18973157	0.059438657	0.15475282	0.1352412	0.06668111	0.045490608	0.04923053	0.056533262	0.09043196	0.1024787
a44	0.041359242	0.25129047	0.051930066	0.19353591	0.16549772	0.068593465	0.035251353	0.035794124	0.036266997	0.06021282	0.06026786
</S>	0.05168951	0.26222828	0.06765582	0.103835166	0.18963653	0.05557165	0.028251972	0.036098175	0.041335955	0.07579694	0.08789999
