 	non	ci	dimentichiamo	mai	</S>
a31	0.03729756	0.01267087	0.017322727	0.18603733	0.7466715
a20	0.21784104	0.7802092	0.0003529215	0.00078085787	0.0008158276
a31	0.012505542	0.98741305	6.715531e-05	3.3692972e-06	1.08719e-05
a11	0.78785753	0.1913695	0.0010590169	0.014775195	0.0049387496
a20	0.2958981	0.6286211	0.00014096197	0.010497555	0.06484226
a31	0.18534221	0.6948613	0.0022436942	0.0032115262	0.114341244
a11	0.7617388	0.22578949	0.0011851408	0.007249282	0.004037339
a31	0.20447533	0.52330244	0.00018970823	0.0127992565	0.2592332
a18	0.4109075	0.5533173	0.009008547	0.009195236	0.017571378
a42	0.33269462	0.5892445	0.004280157	0.020087829	0.053692956
a31	0.0696107	0.91849554	0.0005260904	0.0020892345	0.009278356
a18	0.5129938	0.27913874	0.076979645	0.03918858	0.09169919
a31	0.11131972	0.46739247	0.08169279	0.1321362	0.20745876
a39	0.43681544	0.2841767	0.09330471	0.063331164	0.12237194
a31	0.115789816	0.34864837	0.11709327	0.18789023	0.23057835
a20	0.35923713	0.33311695	0.10277799	0.08744827	0.117419586
a39	0.11488492	0.19000517	0.15139666	0.26078293	0.28293037
a31	0.21428476	0.2149885	0.17676851	0.19422482	0.19973347
a14	0.27496094	0.24467662	0.1604555	0.15781006	0.16209689
a46	0.11651924	0.31563997	0.12797135	0.2009106	0.23895885
a20	0.09864988	0.1486848	0.15109251	0.28943646	0.31213635
a31	0.17254828	0.18196283	0.18725938	0.22600332	0.23222628
</S>	0.2569493	0.20335786	0.18607284	0.17754179	0.17607819
