 	se	si	era	vestito	la	figlia	l'	avessi	portata	alla	chiesa	</S>
a31	0.038739167	0.05720246	0.009330407	0.0046335687	0.003584002	0.0055708666	0.008977929	0.011497366	0.010306193	0.11507464	0.06667432	0.668409
a20	0.12627603	0.031078301	0.006214783	0.0058289017	0.0048690964	0.0033734452	0.010281713	0.0052133366	0.051097844	0.2988972	0.4481184	0.008750969
a37	0.0072574327	4.994381e-06	0.00011851851	0.0039266776	0.01987583	0.0028133427	0.03777603	0.09264613	0.77231735	0.0072553256	0.05456463	0.001443787
a24	0.044844847	1.6729853e-05	0.002569534	0.033390682	0.09113456	0.023260219	0.02038166	0.022547128	0.12666821	0.0723589	0.5096591	0.053168308
a31	0.09064384	4.557091e-06	0.0023835474	0.020794187	0.017240198	0.0004988086	0.00039597866	0.0009552451	0.10863846	0.13393602	0.58368	0.040829133
a39	0.0008065271	5.560578e-06	3.1258554e-05	0.00017919378	6.969756e-05	5.8569334e-05	0.0005862402	0.00057772466	0.06312642	0.24288881	0.6862113	0.0054586697
a31	0.0043661776	5.8005717e-05	0.00072142825	0.0006923737	0.00015742557	0.00018588906	0.002057737	0.0048975274	0.50472146	0.2820704	0.18970679	0.010364891
a24	0.0061343573	8.738216e-05	0.0036553114	0.0017103385	0.0001365086	0.00016407548	0.0002797632	0.00014064265	0.015523707	0.82171994	0.11261231	0.037835613
a31	0.006006392	0.00015825142	0.0038570424	0.0013400896	0.00033144248	0.00062162185	0.0018851402	0.0008290564	0.13712138	0.7069954	0.11340971	0.02744442
a28	0.0058339033	0.000109482535	0.0031083839	0.0013690768	9.94036e-05	0.00015326666	0.00010688989	9.2083166e-05	0.003613606	0.897079	0.069202945	0.019231852
a24	0.01603485	0.0007061999	0.004919345	0.0021286802	0.00061934185	0.0014303774	0.0013309512	0.0007682355	0.008064306	0.85190433	0.063370034	0.0487234
a8	0.0099070035	0.0003439079	0.0036114682	0.0015214587	0.00032032334	0.00080261537	0.0007530187	0.00040743052	0.0076896735	0.8758974	0.060807332	0.037938368
a31	0.023839355	0.0015606218	0.013693837	0.0044916873	0.0020253037	0.0057233004	0.008206181	0.003263191	0.033614744	0.7754452	0.077785715	0.050350904
a46	0.10650286	0.004176664	0.017731966	0.014957952	0.0034456053	0.0053864187	0.0036490085	0.0036010593	0.0069824536	0.4930968	0.108143106	0.2323261
