 	devo	pulire	l'	albero	</S>
a39	0.3561104	0.123497136	0.060467534	0.029286738	0.4306381
a31	0.00059000764	0.00066014356	0.00011237642	0.99192953	0.006707942
a35	0.36625648	0.008259366	0.07730457	0.24967435	0.2985053
a31	0.002123028	0.0016970227	0.008116695	0.9848074	0.0032558762
a20	0.0070132273	0.013509992	0.04809736	0.9293942	0.0019852172
a31	0.011724657	0.008312956	0.032530002	0.92255664	0.024875745
a37	0.049718507	0.034465913	0.30840984	0.5450331	0.062372636
a1	0.01453296	0.0044580325	0.004091873	0.9749783	0.001938899
a20	0.011970198	0.011232126	0.0074068676	0.9637524	0.005638342
a31	0.00012174153	0.0028638826	0.00041165348	0.9951552	0.0014474941
a39	0.018366324	0.026680676	0.12323285	0.68795407	0.14376608
a10	0.0014303225	0.0020345428	0.000578668	0.97372466	0.022231778
a29	0.00064770365	0.012525119	0.028257731	0.9461166	0.012452763
a46	0.0020301864	0.014351675	0.049410235	0.9153775	0.018830463
a31	0.015360791	0.045118775	0.2400514	0.56106186	0.13840714
a20	0.023232115	0.07388631	0.37408873	0.4753776	0.053415295
a13	0.05700713	0.08271707	0.34994113	0.12898389	0.3813508
a20	0.051970575	0.08851054	0.4268141	0.1720572	0.2606476
a31	0.04952763	0.073872566	0.3514972	0.1367987	0.38830388
a11	0.12758285	0.16776656	0.35986206	0.17903778	0.16575068
a17	0.10793642	0.16315876	0.41540423	0.13300258	0.180498
a20	0.10602285	0.14520296	0.3177537	0.1311747	0.29984578
</S>	0.13071784	0.1460253	0.20682733	0.13283764	0.38359186
