 	sapeva	che	fa	freddo	e	non	aveva	di	nuotare	</S>
a31	0.6693186	0.010338076	0.007238095	0.01143496	0.0031755678	0.00090296415	0.011518822	0.044598583	0.10238495	0.13908929
a20	0.036134865	0.0013916485	0.0020778778	0.044410527	0.20082644	0.04447981	0.014863142	0.06088436	0.49672797	0.0982034
a31	0.012951322	0.02227818	0.026437115	0.18495612	0.56291467	0.15579933	0.008707612	0.004180016	0.015958825	0.005816748
a29	0.0076766335	0.0015074395	0.0028230767	0.19929777	0.024953334	0.029534368	0.025353847	0.43403354	0.18861026	0.086209714
a15	0.020545444	0.0018045795	0.0077204295	0.3820625	0.3634488	0.13235351	0.014886967	0.042133365	0.027705697	0.007338689
a31	0.010067544	0.008182896	0.003347668	0.01461721	0.11752749	0.64302206	0.08731761	0.037554584	0.05766759	0.020695295
a18	0.07241809	0.006482255	0.012325555	0.82107157	0.025947003	0.012791279	0.0031287004	0.01886973	0.015633615	0.011332277
a46	0.023967464	0.0070619276	0.017621446	0.16934183	0.16661581	0.033052806	0.012260437	0.19544901	0.31156355	0.06306575
a31	0.06228859	0.039823238	0.06497739	0.56545126	0.08212574	0.016793817	0.00582905	0.057563543	0.09379701	0.011350353
a37	0.06973967	0.0050256737	0.00872762	0.8638001	0.03504655	0.0024585475	0.002789773	0.0020402845	0.006128748	0.00424309
a31	0.098047845	0.052727424	0.14152133	0.5322941	0.108236484	0.0057929135	0.0022001755	0.01628071	0.04184265	0.0010564536
a41	0.05426729	0.0058665597	0.010137454	0.73938173	0.116326116	0.005811099	0.019420015	0.010553757	0.018298738	0.019937221
a31	0.019796453	0.0055300985	0.0049865833	0.82142216	0.026292628	0.008459966	0.05767828	0.030140791	0.015669724	0.010023269
a3	0.08679193	0.017333737	0.03416415	0.27496326	0.15725674	0.034742557	0.11800561	0.08736294	0.07690249	0.11247661
a31	0.024271602	0.020148557	0.019647947	0.035114013	0.035991173	0.046806782	0.28819904	0.14118245	0.26931542	0.11932304
a23	0.095994204	0.0237654	0.038610164	0.06512238	0.029501133	0.03968411	0.27524856	0.21753238	0.1695699	0.04497176
a29	0.017521258	0.029167378	0.025791328	0.012311603	0.00593097	0.017593862	0.070077084	0.14782839	0.6210834	0.052694753
a46	0.01916654	0.029504519	0.026542483	0.017671732	0.014678715	0.044432666	0.110614784	0.14629808	0.50270337	0.088387154
a23	0.012997108	0.020605253	0.013526045	0.013204099	0.02439953	0.05789588	0.115718074	0.13795567	0.4548317	0.14886662
</S>	0.043286923	0.029548297	0.013981929	0.04945861	0.06759262	0.070819974	0.13054141	0.11471234	0.32285655	0.15720132
