 	non	sapeva	dove	a	stare	</S>
a20	0.04239712	0.4166538	0.10686258	0.16244526	0.22154142	0.050099812
a31	0.103648946	0.1987163	0.20201045	0.09889563	0.12290238	0.27382627
a37	0.059447773	0.01768446	0.0006897398	0.0021142482	0.6727127	0.24735117
a38	0.0052299816	0.017806858	0.00037792904	0.0032118394	0.5146695	0.45870394
a31	0.014259354	0.07121618	0.0015532363	0.0026318156	0.26279333	0.6475461
a41	0.096751824	0.7543107	0.003094699	0.0062282076	0.1369665	0.0026479983
a10	0.021732645	0.4876015	0.022059152	0.0041541387	0.33596888	0.12848376
a20	0.055421643	0.5361417	0.009040487	0.03693839	0.3454138	0.017043926
a9	0.01696589	0.8990401	0.0071184416	0.0022337309	0.071860194	0.0027815937
</S>	0.009399447	0.88377905	0.013217412	0.0018984498	0.08818733	0.003518311
