 	Marika	tu	hai	mangiato	</S>
a8	0.013936206	0.0853294	0.049984448	0.14958234	0.7011676
a31	0.9717562	0.001989939	0.012238895	0.010499126	0.0035157844
a24	0.868018	7.507592e-05	0.057143614	0.06481859	0.009944777
a31	0.9160493	0.00046758025	0.012858997	0.026021862	0.044602238
a28	0.9746504	0.0010415507	0.0011809785	0.018070031	0.0050571254
a31	0.25709715	0.003805662	0.013751789	0.4686845	0.25666085
a3	0.86670834	0.04976547	0.026785092	0.049212616	0.0075284974
a18	0.8752001	0.011275223	0.020019518	0.044273127	0.049231976
a31	0.69106686	0.008065456	0.042078674	0.189901	0.06888787
a23	0.103277266	0.07004396	0.13994458	0.15345125	0.533283
a31	0.3794598	0.12616596	0.24830489	0.19765012	0.04841925
a20	0.112771444	0.10502577	0.21974754	0.18644895	0.3760063
</S>	0.084424004	0.08358411	0.112627134	0.31658655	0.4027782
