 	quella	famiglia	non	ha	da	mangiare	</S>
a20	0.0018737119	0.20162264	0.031625498	0.04538593	0.077339076	0.30539927	0.33675393
a31	0.9612487	0.00052661455	0.0009181772	0.015628876	0.011187343	0.009902583	0.00058765244
a37	0.5443964	0.0076911063	0.030537572	0.10867362	0.19727744	0.11033773	0.001086114
a31	0.7746635	0.0001455385	0.008677586	0.024763547	0.03523149	0.14674848	0.009769824
a13	0.8854745	0.006787585	0.023546498	0.06363013	0.0107829515	0.0055848383	0.004193535
a31	0.021983426	0.00023217451	0.012168951	0.09386525	0.3412738	0.48936108	0.041115317
a43	0.5874515	0.18464932	0.03292965	0.110621676	0.04245756	0.040979486	0.00091075554
a31	0.7336369	0.046480045	0.027642962	0.08960359	0.01574783	0.06973205	0.017156586
a20	0.45263082	0.38153523	0.008551116	0.030051911	0.03095404	0.080115356	0.01616159
a31	0.2902736	0.5434845	0.006816101	0.017340016	0.012119454	0.12061934	0.009346924
a11	0.8144199	0.08117923	0.014066344	0.022786902	0.020247348	0.032385733	0.014914629
a31	0.677285	0.13106251	0.0062031136	0.027079104	0.042772878	0.09061844	0.024978912
a30	0.33066863	0.41338032	0.05777546	0.046889927	0.041810695	0.054954402	0.05452051
a31	0.13530524	0.26503712	0.03838038	0.07563606	0.120403126	0.20940824	0.15582986
a42	0.05631999	0.671551	0.06597561	0.052401967	0.049405154	0.051044174	0.053302154
a20	0.071375184	0.08610575	0.07272118	0.12289134	0.20157358	0.23813134	0.2072017
a31	0.11677902	0.13428472	0.11939635	0.13638015	0.16099174	0.17100912	0.16115887
a20	0.07707455	0.5257604	0.08295652	0.07824232	0.07810127	0.07850616	0.07935873
</S>	0.12183623	0.13425933	0.124293506	0.13820001	0.15831628	0.16602737	0.15706718
