 	ho	rotto	una	bottiglia	</S>
a31	0.075049855	0.13195021	0.120671846	0.37166357	0.30066445
a21	0.061322313	0.9185365	0.017904539	0.00075480837	0.0014817875
a31	0.023870865	0.9495646	0.025039842	0.0012873246	0.00023754091
a35	0.78962773	0.20293672	0.001967082	0.0012186641	0.0042498577
a31	0.03667301	0.82739484	0.13396032	0.00076896755	0.0012029548
a24	0.4392014	0.3040977	0.008604206	0.10955497	0.1385417
a37	0.0677751	0.8882782	0.016051373	0.025412846	0.0024824482
a31	0.21793203	0.43168575	0.024866259	0.29502743	0.030488549
a33	0.03824403	0.03376595	0.03804998	0.36069086	0.5292492
a31	0.13007833	0.18508022	0.037192684	0.57063925	0.0770095
</S>	0.22568017	0.040751193	0.048666857	0.10917531	0.5757265
