 	che	sapeva	che	non	può	fare	il	bagno	</S>
a31	0.05999349	0.26131484	0.031166155	0.009369116	0.12511185	0.00874311	0.13137017	0.05809226	0.31483904
a20	0.019637305	0.0133988755	0.007878265	0.00039902702	0.00896663	0.8955324	0.03987174	0.0124719385	0.0018436892
a28	0.43753347	0.01730405	0.19206892	0.017395515	2.7324436e-06	0.054152645	0.007575507	0.27383593	0.00013124858
a31	0.22248428	0.07048275	0.27477282	0.10678557	0.00019552864	0.14776546	0.01615749	0.14374587	0.017610172
a39	0.32482997	0.083038114	0.21604015	0.0075238245	0.00025845962	0.278742	0.01553774	0.07384227	0.00018743449
a24	0.046777014	0.019814204	0.043466695	0.021455154	5.7765035e-05	0.059183083	0.11461791	0.6845522	0.010075939
a31	0.3544688	0.098353714	0.08652784	0.07547293	0.00013491712	0.19987512	0.087681256	0.09607917	0.0014062757
a17	0.17068672	0.3152364	0.21623172	0.04092428	0.09735319	0.06798636	0.06569461	0.014917284	0.010969482
a31	0.057271853	0.34185952	0.37491107	0.06954086	0.017007463	0.03622336	0.04234673	0.02123159	0.039607543
a39	0.098390095	0.56510085	0.14302576	0.056391727	0.036067512	0.008157444	0.019587137	0.033253577	0.040025875
a41	0.03713878	0.6831548	0.18174347	0.0255135	0.004662502	0.004812754	0.010537536	0.020435516	0.0320011
a31	0.033378754	0.6328454	0.15233955	0.03294247	0.02527946	0.013159036	0.02025961	0.042589605	0.047206096
a33	0.060666945	0.32950547	0.17863242	0.112622306	0.035505433	0.01425279	0.04544732	0.1124684	0.11089889
a31	0.06442188	0.58157957	0.21351007	0.027335387	0.0037241147	0.004059069	0.0073472774	0.025994755	0.072027944
</S>	0.11412302	0.13397364	0.12836385	0.088816054	0.22937167	0.100263946	0.05820057	0.073656805	0.073230386
