 	non	avete	mangiato	mai	un	rustico	</S>
a23	0.087484024	0.010558844	0.009956949	0.0200696	0.022154342	0.035944823	0.8138314
a31	0.048149616	0.00049654976	0.0005077263	0.00047572178	0.94896483	0.0010582288	0.00034738792
a29	0.011316199	0.006904167	0.18735994	0.055073384	0.73193014	0.0021963464	0.0052199396
a24	0.3270088	0.0024050109	0.18078475	0.016758457	0.45401606	0.0018953109	0.017131552
a18	0.018551376	0.0049842764	0.4028019	0.028572997	0.36697257	0.020608542	0.15750828
a31	0.29880413	0.007524227	0.11144203	0.021876879	0.39065623	0.0010273068	0.16866912
a13	0.7815442	0.0006187658	0.020881051	0.0031602185	0.19118024	1.2462108e-05	0.0026030773
a11	0.24587142	0.0008147848	0.0126304515	0.006451118	0.7000165	7.4411684e-05	0.034141272
a8	0.050235294	0.0007871841	0.01051362	0.00047937167	0.9321448	1.5176641e-05	0.005824491
a31	0.432515	0.008633375	0.010711598	0.0017280307	0.5012675	0.00030389018	0.04484054
a24	0.35616866	0.014815981	0.024523918	0.006147496	0.5102348	0.0015293632	0.08657978
a31	0.34928453	0.06265325	0.08165184	0.027777035	0.21564567	0.03860706	0.22438063
a39	0.25645697	0.19159405	0.047090616	0.03352275	0.15052335	0.19225955	0.12855266
a20	0.19013408	0.12630633	0.10425068	0.047955472	0.1377464	0.13042934	0.2631777
a31	0.20458905	0.1250084	0.12371189	0.089458324	0.08192546	0.12521793	0.25008896
a20	0.23212613	0.24381423	0.04815835	0.045402408	0.12363825	0.22270532	0.084155224
a31	0.14196429	0.11515185	0.057730947	0.041138377	0.16575447	0.15074624	0.3275138
a46	0.19772471	0.21522133	0.08431372	0.068141945	0.10542643	0.24124251	0.087929286
a31	0.1399573	0.13394359	0.068946674	0.05983956	0.15979236	0.15857847	0.27894208
a23	0.15613735	0.1653577	0.13502228	0.09531731	0.0938519	0.24833643	0.105976984
a31	0.13009955	0.12888783	0.097849794	0.09394449	0.15331492	0.14530163	0.2506018
a46	0.13658187	0.14086422	0.16435435	0.110471584	0.089688145	0.24254489	0.11549489
a8	0.1287354	0.12710702	0.116240196	0.11404323	0.15092404	0.14059539	0.22235464
a31	0.12985495	0.13193081	0.14079982	0.14446825	0.13436109	0.15981725	0.15876783
a38	0.14470622	0.14777125	0.1481223	0.12990274	0.124945305	0.17178227	0.1327699
a20	0.12989101	0.12831138	0.12595642	0.12426977	0.1475118	0.14217357	0.20188601
a31	0.11983066	0.12062892	0.14514896	0.14928052	0.1315977	0.16195379	0.1715595
a20	0.1437242	0.14536819	0.14575855	0.13586035	0.13300177	0.15811594	0.13817103
a31	0.1252009	0.120275766	0.12345537	0.11705073	0.15074052	0.13575144	0.22752523
</S>	0.119861715	0.1177588	0.1904053	0.13809241	0.10396045	0.19383915	0.13608225
