 	se	la	pasta	aveva	voluto	sale	lo	avevo	messo	</S>
a31	0.1160539	0.022053624	0.024107326	0.0041627497	0.012191184	0.0071795788	0.007510785	0.037238445	0.08772397	0.6817784
a20	0.011402656	0.0057256217	0.0005766834	0.00014522948	0.16279489	0.48712453	0.14952368	0.03704963	0.14512081	0.00053626485
a31	0.00095660327	0.001721038	0.004071108	0.006111297	0.25410733	0.38930494	0.3160237	0.019859303	0.007757311	8.734152e-05
a21	0.003359254	0.0017590433	0.001027113	0.0045208316	0.049716823	0.20634852	0.19213648	0.40732816	0.11364434	0.020159513
a31	0.002640999	0.0004818022	0.008645462	0.008866603	0.24613065	0.3255099	0.31357032	0.045126356	0.04811328	0.0009145328
a13	0.03661751	0.004432359	0.106550895	0.04430495	0.3413054	0.2474975	0.028358236	0.12657154	0.061426714	0.0029349094
a31	0.038071115	0.0030681295	0.15461785	0.20141089	0.08530791	0.091250375	0.10201003	0.16949737	0.15076269	0.0040036677
a6	0.037439503	0.0067127314	0.14802584	0.015779877	0.45217872	0.18860313	0.010549959	0.09401104	0.04221211	0.0044870647
a46	0.02055939	0.0007865171	0.020511348	0.007968682	0.45136988	0.37759572	0.053971253	0.049950536	0.016443102	0.0008435904
a31	0.045949142	0.0054691792	0.014225613	0.0011461049	0.7262771	0.13599695	0.01394666	0.019684155	0.02444673	0.012858451
a46	0.034186296	0.0026648967	0.038480073	0.0032887	0.5751332	0.21104583	0.014653647	0.033932615	0.07618961	0.010425227
a11	0.017098347	0.002971287	0.019503364	0.00096360943	0.75878453	0.10437621	0.008106675	0.04031775	0.03414685	0.013731388
a37	0.0107794	0.013316877	0.011086946	0.0065495195	0.44661078	0.2575975	0.05772068	0.049527112	0.053989295	0.092821896
a18	0.023813115	0.010173866	0.012021149	0.004549652	0.28258032	0.3446578	0.24148877	0.04301861	0.023780435	0.013916293
a46	0.048506998	0.0140674235	0.01525402	0.0048598843	0.3059005	0.3548271	0.18804367	0.028314345	0.030394126	0.009831945
a31	0.050863404	0.04107339	0.0275891	0.0067153363	0.19678691	0.21917687	0.056352008	0.07952912	0.10616627	0.21574757
a20	0.012405754	0.01671591	0.0286684	0.008398477	0.42817366	0.3562354	0.09833869	0.027306627	0.017827762	0.005929242
a35	0.042221274	0.09637725	0.072232254	0.019780863	0.2759271	0.21589056	0.047782235	0.058265746	0.07734402	0.094178624
a6	0.0417003	0.07239011	0.06442698	0.030476952	0.2386823	0.22873306	0.060317382	0.060557846	0.07530252	0.1274126
a13	0.049776424	0.108340815	0.06697166	0.031246701	0.079937026	0.06570037	0.042550374	0.09642907	0.16063276	0.29841483
a28	0.0643118	0.10107328	0.07633196	0.054632798	0.14212029	0.15601091	0.07134381	0.07650804	0.092486136	0.16518095
a31	0.06802518	0.11646869	0.086042255	0.058200892	0.14489594	0.1527219	0.07306965	0.076779775	0.08937394	0.1344218
a10	0.059843462	0.08461863	0.08307761	0.07077761	0.17891228	0.2391929	0.08165462	0.06807499	0.06388178	0.0699661
a24	0.075543776	0.1458446	0.12200097	0.053576935	0.11278899	0.094368055	0.056694508	0.07623305	0.10417995	0.15876912
a31	0.07880374	0.1058349	0.0911326	0.07339462	0.09334964	0.09531834	0.07359733	0.09134056	0.114834726	0.18239363
</S>	0.09306324	0.13558972	0.0985181	0.09105859	0.09708105	0.09838891	0.08595295	0.09054819	0.09764634	0.11215297
