 	io	voglio	che	Maria	venga	qui	</S>
a31	0.12202874	0.012296395	0.006748904	0.040209275	0.19261378	0.37464747	0.25145543
a39	0.35451734	0.062158436	0.2460377	0.013695294	0.06861414	0.016357796	0.23861921
a31	0.30249137	0.075686984	0.62178403	8.9228514e-08	2.9597905e-07	1.8402847e-08	3.72834e-05
a37	0.6698856	0.14455694	0.074930094	0.0001687703	0.010700642	0.00071054953	0.09904748
a31	0.20420766	0.052306317	0.689126	4.598753e-05	0.00017775697	0.00010294311	0.054033328
a11	0.81035775	0.10970941	0.036195915	5.4091015e-05	0.0064557428	0.00017408286	0.037053023
a20	0.69210833	0.14978786	0.12058637	6.0967537e-05	0.005317876	0.00013254982	0.03200597
a4	0.84293	0.09937077	0.027746182	0.0001022691	0.011023959	0.00026424605	0.018562522
a24	0.5291842	0.16408053	0.28627735	0.000103934515	0.004931695	0.00053899206	0.014883263
a31	0.5416119	0.16147746	0.019376565	0.008228571	0.056816302	0.0090199765	0.20346914
a11	0.7939404	0.045468606	0.0360646	0.035718273	0.025222233	0.029751038	0.033834737
a24	0.3345136	0.099074416	0.0819678	0.035995476	0.055174038	0.031214058	0.3620606
a31	0.5801752	0.15613656	0.08639043	0.05843039	0.03308317	0.034061283	0.05172303
a46	0.13602896	0.26439375	0.2620197	0.15269516	0.047550432	0.06856698	0.06874494
a8	0.17281929	0.16009471	0.15458599	0.11948988	0.112478174	0.13192563	0.14860633
</S>	0.15643434	0.1282479	0.12917316	0.123952195	0.14479434	0.14474492	0.17265312
