 	mi	si	gonfiò	il	dito	</S>
a31	0.51486903	0.31393725	0.019353058	0.099252924	0.012589937	0.039997768
a11	0.8814811	0.1012692	0.00019421946	0.013705754	0.0026100376	0.00073966157
a31	0.2682898	0.00013788298	3.0504603e-05	0.0020552136	0.70754546	0.021941112
a15	0.90903187	0.0010471686	4.377083e-05	0.055934653	0.033552103	0.00039048344
a31	0.17679061	0.00027505003	0.00033237075	0.022492819	0.64632666	0.15378243
a0	0.9619373	0.0038601626	9.766849e-05	0.02237529	0.0110099595	0.0007194803
a46	0.82165754	0.0013966245	0.0035885647	0.009026458	0.10709012	0.05724069
a31	0.4962372	0.011555357	7.976455e-05	0.44818643	0.038535956	0.005405366
a18	0.72337085	0.022428086	0.0024000988	0.15261821	0.039319523	0.05986324
a31	0.08391717	0.006112319	0.0018127284	0.84021556	0.055960305	0.011981958
a24	0.267275	0.034016903	0.030491276	0.44860306	0.071079426	0.14853439
a28	0.08256971	0.0067320485	0.0057576112	0.7586426	0.087728515	0.058569457
a13	0.23104149	0.15471621	0.07744413	0.2207584	0.17667662	0.13936315
a20	0.14642936	0.20785865	0.054827604	0.17999238	0.2916203	0.11927169
a17	0.40572563	0.27234507	0.04041529	0.099979214	0.10972361	0.07181125
a39	0.45427153	0.16986124	0.0392834	0.10520525	0.14778279	0.083595835
a20	0.36955026	0.11600214	0.03960793	0.13008112	0.23814629	0.10661231
a31	0.49742436	0.09675288	0.05223181	0.09410454	0.15098418	0.10850225
a41	0.13633555	0.18806325	0.10530495	0.16370288	0.25531733	0.151276
a8	0.16468939	0.12787282	0.08458409	0.16065328	0.30632412	0.15587631
a37	0.152468	0.13452661	0.10873289	0.16331583	0.26979336	0.17116332
a8	0.13155995	0.12937266	0.11129458	0.17138995	0.28762203	0.16876079
</S>	0.14499022	0.14180642	0.13193606	0.16978967	0.2389345	0.1725431
