 	non	aveva	cosa	a	fare	</S>
a31	0.1849	0.17472988	0.02689026	0.063210346	0.093224645	0.4570448
a18	0.43704626	0.46946204	0.05386573	0.006189991	0.030304128	0.0031320145
a24	0.019881416	0.009253004	0.005644745	0.0018083436	0.9568369	0.0065756096
a20	0.01623067	0.022202475	0.059405856	0.018382203	0.8544182	0.029360559
a31	0.0826597	0.29111943	0.09845861	0.011224713	0.4993555	0.017182063
a18	0.19003743	0.38114437	0.06565639	0.04374234	0.30581567	0.013603873
a31	0.12787063	0.4402528	0.072454944	0.079554036	0.16501768	0.11484987
a17	0.21751374	0.17215322	0.050568324	0.089514524	0.1755868	0.29466343
a20	0.11088346	0.12069504	0.058360968	0.08195112	0.100401916	0.52770746
a31	0.14908418	0.1838477	0.09973097	0.1592329	0.1712489	0.23685528
</S>	0.093953505	0.075838394	0.07037342	0.08523115	0.15182681	0.52277666
