 	lo	sentii	che	arrivò	</S>
a11	0.52563703	0.036328115	0.012017273	0.07247108	0.3535465
a31	0.008229909	0.73106873	0.021701662	0.23747155	0.0015280835
a28	0.032418348	0.019516597	0.6002727	0.30934182	0.03845057
a37	0.25776643	0.28085452	0.17165805	0.27803153	0.011689455
a20	0.030909793	0.043243073	0.06495691	0.82633	0.034560196
a31	0.036947265	0.3585344	0.058283966	0.53569674	0.010537675
a1	0.19024682	0.72152245	0.021659063	0.06441284	0.0021588535
a0	0.85499716	0.118083425	0.002971438	0.022499293	0.0014486467
a17	0.09517378	0.7302932	0.029109806	0.13025509	0.015168103
a31	0.055063732	0.91060966	0.011192616	0.022006731	0.0011273287
a0	0.0567096	0.77087957	0.06507942	0.09303314	0.014298287
a46	0.05608781	0.5592888	0.082338214	0.21707095	0.08521416
a31	0.046546295	0.4497094	0.06888208	0.24543911	0.18942311
a18	0.10643759	0.46895516	0.13610849	0.14085099	0.14764775
a31	0.0999221	0.4179222	0.11579941	0.15186341	0.21449284
a39	0.178983	0.20702325	0.18747528	0.19421418	0.23230433
a31	0.1221667	0.14332484	0.13464174	0.21272284	0.3871439
a46	0.17532653	0.18787488	0.21582237	0.19911861	0.22185765
</S>	0.094855	0.09220161	0.10342569	0.22889735	0.48062038
