 	sta	seduta	nel	giardino	</S>
a20	0.01448683	0.048460543	0.037938792	0.09840724	0.8007066
a17	0.8932971	0.0020886224	0.0019527939	0.094274834	0.008386652
a20	0.10421879	3.058058e-05	7.396483e-05	0.81513625	0.08054034
a31	0.09573814	0.00023099442	0.0002971622	0.79037774	0.11335592
a17	0.68437636	1.7306069e-05	0.00045892375	0.3099176	0.00522974
a31	0.3554808	0.00011447062	0.00050202874	0.6407976	0.003105114
a46	0.103556976	9.539641e-05	0.00865163	0.8584045	0.029291445
a31	0.0045629796	3.761616e-05	0.002728312	0.9914585	0.001212657
a20	0.043090455	0.0010151209	0.04647771	0.8142142	0.0952025
a31	0.0010281327	2.5862764e-05	0.005037486	0.9893867	0.004521874
a20	0.17184293	0.017242758	0.0481913	0.22445785	0.5382651
a18	0.045175534	0.0049070674	0.095568046	0.6747476	0.17960173
a46	0.051025253	0.010481565	0.35565785	0.35589057	0.22694473
a20	0.016744174	0.007013493	0.473484	0.36171055	0.14104776
a31	0.046211634	0.026140941	0.2871548	0.51477563	0.12571691
a18	0.28822142	0.07256296	0.32586715	0.14220233	0.17114608
a31	0.16439712	0.043398526	0.39241734	0.1309621	0.268825
a0	0.56252056	0.117119946	0.07285956	0.072194465	0.17530553
a31	0.20325398	0.041366074	0.07230289	0.076917015	0.60616
a8	0.59484637	0.109639354	0.059544772	0.06374127	0.1722282
a31	0.12859404	0.04564264	0.050323777	0.07559841	0.69984114
a18	0.43802622	0.12912197	0.12924048	0.12264094	0.18097037
a31	0.124874964	0.08909003	0.10005033	0.10877131	0.5772134
a17	0.37071392	0.14044115	0.14696619	0.13838121	0.20349744
</S>	0.10467484	0.09287201	0.09715821	0.10792241	0.5973725
