 	le	canzone	si	scrivono	alla	notte	</S>
a20	0.05721479	0.017955491	0.105657466	0.09051595	0.05355737	0.048929907	0.6261691
a31	0.1453884	0.20017757	0.014169916	0.008296781	0.17062697	0.4592334	0.0021069616
a0	0.5854363	0.050194763	0.0005265945	8.447037e-05	0.30690747	0.024907062	0.031943396
a20	0.5328545	0.30595902	4.9338392e-05	1.54074e-05	0.030654093	0.07319204	0.057275616
a31	0.092144385	0.11779861	0.0038211434	9.820759e-05	0.3910234	0.051696844	0.3434174
a13	0.3794388	0.07400248	0.0008078311	0.000777501	0.012702552	0.4983712	0.033899613
a38	0.04333478	0.023388693	0.0025836104	0.002286285	0.057191897	0.52003014	0.35118458
a31	0.041968632	0.027454043	0.00019766799	9.3908275e-05	0.018463025	0.8371547	0.07466806
a20	0.2810461	0.18323946	0.008762223	0.020424213	0.23004429	0.24506964	0.031414118
a31	0.058732178	0.056743335	0.0041462574	0.006604315	0.47843665	0.36318865	0.032148466
a20	0.41054562	0.17367521	0.07820962	0.016226634	0.03345748	0.13108642	0.15679897
a33	0.15039669	0.28260496	0.03825941	0.018384816	0.13706449	0.21294904	0.1603406
a31	0.17887174	0.32307917	0.03020332	0.023695558	0.12783751	0.18796939	0.12834324
a28	0.23520844	0.30654502	0.10827199	0.027591629	0.030792492	0.20124198	0.090348415
a31	0.10603482	0.3218872	0.04669861	0.0304134	0.10468022	0.20427835	0.18600747
a0	0.2617661	0.32742772	0.08535112	0.032076705	0.034907706	0.15503806	0.10343255
a31	0.103251256	0.318824	0.06747377	0.05425528	0.10621716	0.14948054	0.20049803
a3	0.29331443	0.30260965	0.071410395	0.0353352	0.041106995	0.11743149	0.13879181
a31	0.101098135	0.27092135	0.07409728	0.06585411	0.12034106	0.1343921	0.23329592
a46	0.31060955	0.2553436	0.06264581	0.036767982	0.04758975	0.09267036	0.194373
a31	0.09170581	0.13342889	0.076895684	0.081576034	0.16426845	0.11945213	0.33267298
a39	0.34433484	0.1272697	0.064925194	0.05301385	0.07010533	0.0632452	0.27710596
a35	0.13017863	0.14358677	0.12346099	0.12437972	0.1473489	0.13688843	0.19415657
a31	0.1623192	0.14659536	0.121272944	0.11928215	0.13298412	0.13223694	0.18530929
</S>	0.19657731	0.13567205	0.11879342	0.11569461	0.12448589	0.120111674	0.18866508
