 	questa	canzone	venne	scritta	molti	anni	fa	da	un	nostro	poeta	</S>
a31	0.07641251	0.03081432	0.102928266	0.024478681	0.019139031	0.014610032	0.013926478	0.014917837	0.04436492	0.4242191	0.048015226	0.18617365
a11	0.00020804233	0.00019280225	0.0031354567	0.00089569465	0.042689145	0.037746366	0.084184945	0.13712698	0.68646973	0.006473532	8.805224e-06	0.00086840027
a15	0.030977268	0.006262293	0.021700528	0.0026675526	0.093285255	0.033980366	0.09780537	0.11746677	0.5957894	1.878281e-05	1.3907163e-07	4.6411005e-05
a11	0.023874322	0.01349979	0.02269272	0.025602872	0.22338676	0.085624695	0.07389338	0.09715835	0.43423674	1.0374578e-05	1.4854518e-07	1.9836525e-05
a13	0.08150447	0.045473184	0.03655992	0.048701465	0.11995908	0.049827676	0.05178413	0.07028557	0.49495795	0.00015160118	8.542018e-06	0.0007863867
a7	0.0992759	0.06697514	0.10061731	0.13208659	0.2458812	0.10241699	0.08092056	0.050243232	0.12128353	8.043808e-05	4.1168296e-06	0.00021506814
a18	0.05197136	0.04897535	0.16888215	0.18698977	0.33578777	0.09615143	0.06182857	0.028090322	0.021279987	2.3299834e-05	1.4562659e-06	1.8453564e-05
a31	0.0402615	0.04139413	0.21571559	0.21222878	0.35555312	0.064005695	0.037877984	0.021635713	0.011283603	3.018262e-05	2.3478053e-06	1.1372301e-05
a11	0.011880563	0.009779348	0.1648787	0.07908745	0.58353764	0.07843004	0.0406689	0.022112168	0.00961752	4.3139303e-06	1.0110094e-06	2.422029e-06
a39	0.01729947	0.008027682	0.250915	0.026806397	0.46435812	0.082663804	0.072398886	0.025354898	0.052162305	9.490848e-06	1.2521583e-06	2.801912e-06
a31	0.014319867	0.0063493215	0.3221457	0.024334783	0.34768045	0.09364454	0.08120153	0.044925258	0.065352716	2.6630596e-05	5.6840686e-06	1.3566885e-05
a11	0.047172166	0.012467521	0.30737713	0.007550397	0.16995743	0.100756526	0.20861107	0.032287076	0.11353859	0.00026018615	3.0595818e-06	1.886005e-05
a18	0.054245416	0.010971757	0.108803496	0.0033138362	0.08126158	0.10235676	0.33683756	0.06359496	0.23773347	0.0008137829	9.044865e-06	5.8404974e-05
a15	0.010384989	0.004922913	0.06882999	0.0038363826	0.109226316	0.108799495	0.25582436	0.07739701	0.36063823	9.61777e-05	5.000287e-06	3.9127346e-05
a31	0.017033262	0.0046438053	0.036628146	0.01170198	0.042364687	0.13030241	0.29912603	0.14225386	0.291021	0.021844774	0.0004245419	0.00265543
a11	0.016112892	0.0052008857	0.04654698	0.0019802237	0.035246927	0.10474549	0.55826265	0.049099922	0.18221743	0.0005292154	1.0855388e-05	4.6503603e-05
a35	0.021157404	0.008481831	0.044564106	0.0047213	0.037156947	0.107510015	0.5753063	0.068098634	0.13141085	0.001448612	3.2371256e-05	0.000111735644
a8	0.024800966	0.010870239	0.04242939	0.008027191	0.04368503	0.1170902	0.53693324	0.102275364	0.11198673	0.0016329953	5.121537e-05	0.00021740134
a31	0.022816435	0.012528871	0.050475705	0.01934176	0.054539006	0.14472425	0.4582104	0.13123466	0.10229615	0.0031908504	0.00015173545	0.0004901912
a17	0.025831712	0.011484264	0.05447274	0.013332147	0.04330026	0.12603481	0.41218752	0.11125269	0.20087056	0.0008215668	0.000118551994	0.00029325174
a31	0.025163388	0.021753684	0.10159606	0.045378715	0.058854938	0.14405972	0.31331894	0.14318243	0.14271797	0.0029584062	0.00046467286	0.0005510754
a46	0.04471338	0.0394595	0.076157145	0.11221835	0.048445374	0.18113948	0.049480744	0.0716565	0.35164702	0.006922449	0.008015888	0.010144152
a31	0.021258406	0.026613561	0.054999154	0.04006967	0.017821245	0.06268964	0.03639093	0.07246358	0.639757	0.012223565	0.009249209	0.006464037
a24	0.11425119	0.11174386	0.16520154	0.116271056	0.10627346	0.11015085	0.09124044	0.043302543	0.092969924	0.011155833	0.015667355	0.021771934
a31	0.028562699	0.038660884	0.058815025	0.046602983	0.024086634	0.06474381	0.03350163	0.060010176	0.60215783	0.010380359	0.021345843	0.011132104
a17	0.121957645	0.0990265	0.17095402	0.10444013	0.09535717	0.09319444	0.087174	0.05738915	0.08838733	0.015408652	0.027048647	0.039662253
a11	0.039670974	0.07643952	0.106379285	0.07632894	0.052433852	0.087481685	0.034359686	0.0241657	0.44150215	0.01995642	0.027089193	0.014192523
a15	0.051734753	0.077645436	0.1106555	0.17784171	0.08268326	0.2571336	0.05383669	0.01978389	0.120770596	0.012336433	0.021974754	0.013603378
a31	0.047363244	0.089618765	0.18168764	0.10934467	0.036320273	0.0895482	0.021148162	0.020926831	0.36986592	0.011839581	0.013575078	0.008761588
a20	0.086563155	0.1429261	0.16276133	0.14583069	0.14042763	0.14006597	0.0878152	0.022003205	0.030840917	0.011414633	0.013910161	0.015440994
a15	0.027577965	0.10729063	0.13803376	0.10143611	0.07019148	0.10204097	0.02313932	0.018486245	0.32112917	0.027973812	0.042688582	0.020011973
