 	il	dito	si	gonfiò	</S>
a39	0.38454512	0.04164732	0.3548276	0.10953329	0.109446615
a13	0.020056464	0.9410945	0.02567865	0.0020046472	0.011165605
a31	0.22420433	0.7756549	6.0196195e-05	1.4993096e-05	6.557808e-05
a20	0.53254086	0.45438266	0.0002943036	0.00021747223	0.012564652
a31	0.19490482	0.7727441	0.004090684	0.00019617035	0.02806423
a11	0.72572577	0.24653873	0.0031413618	0.00028695303	0.0243072
a31	0.08517424	0.8799961	0.020234562	0.00033561265	0.014259411
a39	0.54977804	0.43251333	0.0074326885	0.0039645843	0.0063114106
a31	0.06531215	0.85527307	0.04781803	0.016986238	0.014610586
a41	0.81710845	0.07671761	0.013929698	0.02626696	0.06597735
a46	0.26398203	0.357724	0.008968659	0.13812812	0.23119713
a31	0.32398164	0.22999212	0.017377933	0.1661197	0.26252854
</S>	0.35255575	0.14269748	0.10097906	0.1411992	0.2625685
