 	io	non	so	cosa	è	da	scrivere	</S>
a48	0.042260274	0.01300484	0.0030343912	0.0015360132	0.002873364	0.048458576	0.4945316	0.3943009
a31	0.098442584	0.51454455	0.033071086	0.15883473	0.18876594	0.0049034585	0.00024517736	0.0011925226
a14	0.08714101	0.1664027	0.12924193	0.33204612	0.2359618	0.047861584	0.00010443158	0.0012404048
a37	0.13123344	0.30212936	0.18669082	0.09322624	0.2502663	0.03040566	6.177508e-05	0.00598639
a10	0.03651973	0.11664112	0.18270771	0.13003238	0.48395205	0.030733317	8.674494e-05	0.019326981
a31	0.22280523	0.45175564	0.16876028	0.04541472	0.055470552	0.023446798	0.0003356306	0.03201117
a28	0.5395281	0.2601213	0.15346485	0.014807018	0.011580738	0.0074517876	0.008238994	0.0048072524
a31	0.042884845	0.40839642	0.33279005	0.101644926	0.053783853	0.01796792	0.0041348995	0.038397074
a42	0.089356996	0.017640213	0.020207059	0.015393668	0.0687153	0.2568155	0.434104	0.097767286
a23	0.00604001	0.011796884	0.14836562	0.29868242	0.35623255	0.15336268	0.015145493	0.010374331
a8	0.14193463	0.023238305	0.050239425	0.069381535	0.11457161	0.395506	0.09787873	0.10724972
</S>	0.1005984	0.06650354	0.14351359	0.121754505	0.13118854	0.1528863	0.092525825	0.19102935
