 	prima	di	andare	alla	scuola	</S>
a7	0.0264859	0.07067381	0.036732003	0.16096862	0.40992934	0.29521033
a11	0.31919935	0.65988934	0.0008356174	0.0008485498	0.001695955	0.017531194
a43	0.22648546	0.7009989	0.051695492	0.015941823	0.00011362524	0.0047646626
a20	0.1391489	0.5130881	0.11164785	0.076310776	0.0037591474	0.1560452
a31	0.16309871	0.66341156	0.15590343	0.014242096	0.001553376	0.0017909078
a20	0.07004819	0.80116224	0.0862041	0.03034882	0.00041783467	0.01181876
a31	0.14807338	0.84265393	0.007815166	0.0011114139	0.000254133	9.2007955e-05
a20	0.09999497	0.8968678	0.0023070215	0.0006169577	0.00013732711	7.596301e-05
a31	0.19108021	0.8049843	0.0016165148	0.00042998805	0.0006433339	0.0012457398
a20	0.30126208	0.36067975	0.033037014	0.05731927	0.14122051	0.10648139
a31	0.24647072	0.18380964	0.026148481	0.04327592	0.18603414	0.3142611
</S>	0.07889964	0.10364774	0.08833003	0.08231977	0.088797435	0.5580054
