 	non	ti	dimentichiamo	mai	</S>
a8	0.040648457	0.014613236	0.01897778	0.3031728	0.62258774
a31	0.0063017937	0.99345857	0.00013446929	2.4870971e-05	8.0424106e-05
a20	0.375203	0.60994285	0.009618432	0.001568593	0.0036671874
a31	0.6494787	0.19523458	0.002812091	0.0016493549	0.1508253
a13	0.51022947	0.33629686	0.00032426402	0.08303661	0.07011281
a31	0.08402041	0.81576496	0.0011043863	0.0007005875	0.098409645
a13	0.58997685	0.34368014	0.0022623595	0.055810783	0.008269892
a1	0.16817959	0.7277617	0.00031386083	0.009525708	0.09421914
a31	0.1591125	0.7968621	0.00062910735	0.02544443	0.01795187
a41	0.40138087	0.39853692	0.042732455	0.051461384	0.105888374
a15	0.065065585	0.7304426	0.00817989	0.09092217	0.105389714
a13	0.19683112	0.7066745	0.004472609	0.028146386	0.06387539
a31	0.09086868	0.69515765	0.00658768	0.074338205	0.1330477
a11	0.13919568	0.52532303	0.07198343	0.09016681	0.17333098
a31	0.14256151	0.44959208	0.07819895	0.13664216	0.19300531
a46	0.19487727	0.517029	0.09532768	0.06296787	0.12979817
a31	0.11154519	0.382162	0.093143865	0.17892587	0.23422308
a46	0.18278565	0.47249934	0.11613377	0.100434884	0.1281464
a31	0.13435341	0.2800198	0.13785258	0.2196216	0.22815263
</S>	0.20106444	0.34869874	0.15072307	0.14905348	0.15046024
