 	devo	comprare	il	pane	ogni	ogni	giorno	</S>
a31	0.031481158	0.0060895514	0.002320229	0.0022161666	0.010313235	0.056883145	0.1510198	0.7396767
a20	0.36087412	0.23130801	0.022261683	0.2923734	0.0750688	0.009512405	0.0060532084	0.0025483416
a31	0.000640568	0.08323864	0.2667096	0.39138117	0.05272499	0.0042857467	0.20096013	5.9164908e-05
a20	0.041166596	0.07905431	0.1380081	0.5027119	0.17502159	0.019114051	0.044197224	0.0007262613
a31	0.010662282	0.0123987235	0.1752399	0.31942096	0.1662947	0.03488241	0.26911312	0.011987848
a20	0.042350248	0.24192925	0.64246094	0.03311715	0.022413868	0.013219744	0.0038240217	0.0006847912
a31	0.031161468	0.012330889	0.4833075	0.15081841	0.039405067	0.037324034	0.24087392	0.004778686
a35	0.014698213	0.6557725	0.24414249	0.025880884	0.038940538	0.01411159	0.0026307194	0.0038230482
a31	0.014200576	0.1357598	0.72750986	0.020836242	0.033402447	0.02373219	0.042987462	0.0015713889
a15	0.02566795	0.66710085	0.11326138	0.044540554	0.092167646	0.020335793	0.007744964	0.029180951
a18	0.111038946	0.48402414	0.35002005	0.02838134	0.009930081	0.008351439	0.0065011987	0.0017527568
a31	0.026787743	0.110951245	0.05368486	0.22444808	0.134814	0.03312833	0.11242409	0.30376166
a20	0.21016666	0.24358332	0.1496229	0.032577444	0.048222438	0.059292443	0.05895234	0.19758248
a7	0.060001265	0.0896535	0.052901365	0.04056916	0.043108206	0.04910058	0.16432032	0.50034565
a31	0.11257565	0.11388049	0.11164868	0.11111141	0.10975892	0.11102794	0.1306588	0.19933808
a7	0.14397511	0.19864038	0.10466455	0.060513757	0.06576943	0.079933636	0.16230872	0.1841944
a6	0.05171219	0.06917111	0.04744255	0.043952655	0.04479946	0.051435966	0.17085958	0.52062654
a20	0.092610404	0.09694165	0.09066858	0.08934687	0.08984775	0.093119115	0.13851067	0.30895495
a3	0.117926374	0.12150464	0.12082612	0.12072292	0.12176448	0.12120558	0.13001527	0.14603463
a7	0.111679174	0.12161266	0.1219283	0.12464607	0.12771226	0.123009816	0.13604419	0.13336757
</S>	0.10574882	0.13683896	0.114563964	0.11292666	0.1193385	0.116647415	0.14627124	0.14766443
