 	le	melanzane	vogliono	ee	girate	</S>
a31	0.47734103	0.14353469	0.05372171	0.07000074	0.05221178	0.20318998
a20	0.16501611	0.7397654	0.00048199578	0.0036808925	0.086780675	0.0042748563
a18	0.12457547	0.67218626	0.004739365	0.0015876368	0.1933765	0.0035348292
a20	0.118985556	0.43478054	0.00093210867	0.001940028	0.37580428	0.06755745
a38	0.051922284	0.6840623	0.0026396955	0.0047903555	0.21781966	0.038765736
a17	0.11283389	0.7460774	0.0018935978	0.009146097	0.11666772	0.013381253
a31	0.20403567	0.7213673	0.0008192497	0.015319614	0.054318804	0.004139429
a20	0.18544447	0.6830383	0.00087840785	0.057718977	0.06873386	0.0041859145
a41	0.24684814	0.7064306	0.0062852516	0.024818333	0.012265139	0.0033525173
a29	0.17072043	0.72548467	0.04470035	0.022895945	0.017167546	0.019031068
a11	0.15411413	0.58268774	0.15326549	0.037367966	0.027068038	0.045496743
a31	0.1257158	0.374916	0.3104951	0.054076713	0.04330789	0.091488555
a8	0.07885871	0.22344974	0.37243274	0.11247572	0.07643598	0.13634714
a31	0.15579385	0.4159577	0.22399338	0.05149691	0.04188786	0.11087039
a1	0.08702515	0.21480101	0.38793933	0.090942405	0.07705003	0.14224206
a31	0.121877916	0.28741965	0.3179674	0.06353007	0.058890574	0.15031439
a3	0.13450703	0.1853952	0.3595917	0.0993078	0.09359243	0.12760594
a31	0.11742824	0.14900687	0.22486944	0.1572011	0.16072656	0.1907678
a8	0.19620325	0.16470306	0.30214936	0.10420156	0.099526405	0.13321637
a23	0.14684594	0.15726589	0.18904726	0.15693688	0.1641707	0.18573336
a31	0.14725627	0.15242004	0.17249726	0.1712352	0.1731747	0.18341655
a46	0.18263467	0.16482995	0.22951603	0.1369557	0.13481233	0.15125127
a37	0.16629986	0.16581906	0.16891742	0.15948519	0.16209254	0.17738593
a46	0.16091147	0.16228242	0.1698637	0.16904081	0.16709438	0.17080717
a24	0.2397091	0.23034796	0.16212754	0.12292373	0.118349515	0.12654208
a31	0.20827967	0.20106384	0.15956812	0.14508905	0.1403874	0.14561191
a46	0.16954173	0.16625805	0.17382999	0.16273414	0.16253684	0.16509926
a31	0.16170582	0.162829	0.16879943	0.16706818	0.16762805	0.17196955
a8	0.18173946	0.16254303	0.17468548	0.15879408	0.15835159	0.16388631
a24	0.16146299	0.16224991	0.16821228	0.16704878	0.1685016	0.17252448
a8	0.16398393	0.16651389	0.1759774	0.16354662	0.16366583	0.16631232
a31	0.16211691	0.16417657	0.17101155	0.16629378	0.16686252	0.16953872
</S>	0.17278652	0.16538964	0.18421187	0.15783487	0.15724172	0.16253538
