 	ha	che	sono	usciti	</S>
a31	0.21483351	0.19225292	0.36513478	0.11365608	0.11412268
a13	0.7480777	0.19525011	0.015328637	0.04003257	0.0013110823
a8	0.004989937	0.0101685645	0.0004335907	0.93221414	0.052193798
a24	0.0019262831	0.009474718	0.00022472056	0.79621255	0.19216172
a31	0.03014696	0.33923486	0.00361012	0.5350155	0.09199259
a0	0.33725157	0.4612435	0.011184624	0.18914536	0.0011749035
a31	0.19691114	0.3006462	0.093418464	0.3903324	0.0186918
a8	0.09080193	0.11075023	0.16121072	0.29351726	0.34371978
a23	0.01857697	0.01762607	0.04224163	0.62295896	0.29859638
a8	0.010344678	0.011365566	0.04012012	0.62718576	0.31098384
a23	0.033049293	0.034884248	0.05330547	0.69540447	0.18335651
</S>	0.09198142	0.09589707	0.11221816	0.48639843	0.21350494
