 	non	avete	mangiato	mai	un	rustico	</S>
e	0.851373425	0.099809987	0.017862650535	0.0107220600075	0.0158069986841	0.0002641283145	0.004160768298
n	0.567226478333	0.362570202333	0.0232292651783	0.0116570424692	0.0169804887947	0.000269839346833	0.018066676766
è	0.247260310778	0.694272387444	0.0224810203928	0.00716497718973	0.0080133710649	0.000107895205611	0.020700033422
c	0.121589278259	0.752870749148	0.0372480257976	0.0143815479632	0.011188043255	0.000143743446537	0.0625785906407
h	0.0893830460863	0.762531523049	0.0426407435992	0.0174312321544	0.0114665419183	0.000370923392179	0.0761759769802
e	0.0636923050288	0.779705127683	0.115694399533	0.0102074703515	0.00438008634943	0.000349019793393	0.0259716118934
t	0.0292272170096	0.632006075894	0.247086533178	0.0371609922505	0.0126005966598	0.00117992576046	0.0407386867645
e	0.0144633350032	0.363153471965	0.500286197726	0.0591597574168	0.0159345408866	0.00145606539449	0.0455466586382
f	0.0074852051344	0.167997927322	0.725652032575	0.0564848691389	0.0125274716289	0.000643419732497	0.0292091292627
a	0.00530008117813	0.0941909324407	0.695257927525	0.16662695638	0.014353136543	0.000376197089832	0.0238947923542
m	0.00419526515938	0.0534693208136	0.634417642508	0.264103678793	0.0210068475143	0.000245599482277	0.0225616233847
è	0.00344961375313	0.0341019258712	0.454752217503	0.459927349598	0.0255288448381	0.000205010765759	0.0220350377282
n	0.00346089561771	0.0217187292237	0.288641985834	0.596334279866	0.031725949946	0.00168448029359	0.0564336891761
a	0.00351748327257	0.0191827644079	0.211878050945	0.536830496622	0.157990799315	0.00229988123786	0.0683005272254
m	0.00325964505752	0.018705027136	0.116084123982	0.567738695541	0.222560583105	0.00321994788595	0.0684319865751
à	0.00361062335251	0.017011033912	0.0721031376607	0.48591845518	0.348895534368	0.00385178259532	0.068609408525
i	0.00300521625084	0.00704783123733	0.0286180143202	0.271184586727	0.651563144789	0.00288581383177	0.0356953305083
è	0.00186246741695	0.00464783657911	0.0128954484067	0.120936480576	0.799677448263	0.0171389992773	0.0428412748361
n	0.00186526190565	0.00484816652637	0.00937975333557	0.070959440192	0.759026616088	0.0956098330924	0.0583109062787
a	0.00150208140188	0.00467200040879	0.0104104417785	0.060552896064	0.690053962029	0.154348874364	0.0784597500929
n	0.00219170133396	0.00720795113626	0.0105397975928	0.0442563293547	0.49169141201	0.347286101455	0.0968267253643
r	0.00399320224465	0.00861408424542	0.00792299003093	0.0205555349849	0.200803803803	0.614518780485	0.143591627121
ù	0.00474711988155	0.00573143634847	0.00554568164364	0.012025854195	0.128455963068	0.578431523495	0.265062452374
s	0.00345458636052	0.00549840951616	0.00484894024788	0.011643246065	0.108237932689	0.611800414498	0.254516480791
t	0.00163451561017	0.00483812804739	0.00295839847596	0.00749664758833	0.042159442653	0.831364461499	0.109548381264
i	0.000780129726723	0.00197044432446	0.00330594531865	0.0119170120961	0.038477499641	0.628816088833	0.314732848088
k	0.00101578047557	0.00313826094149	0.00412409483955	0.0143191597654	0.039239928547	0.530461877944	0.407700902696
o	0.00412511129186	0.00483794371383	0.00625276801318	0.0120261333218	0.114516696182	0.488350547648	0.369890800899
</S>	0.00682785514593	0.00488169935691	0.00919428350659	0.0153112181609	0.206254238091	0.260477036324	0.49705365045
