 	che	impara	una	cosa	che	studia	una	cosa	</S>
n	0.692803085	0.1305222955	0.045939281465	0.0247884816	0.016641427261	0.0142727457155	0.0103424793265	0.00203775200505	0.0626524506213
a	0.447397385	0.326974725167	0.092250067155	0.0267501758667	0.016959485187	0.0144009267052	0.0103775591655	0.00204897151235	0.0628406663271
m	0.248016295667	0.599698775056	0.0892493637183	0.0144895986222	0.007538960829	0.0052087796684	0.00380842282517	0.000867435114783	0.0311223238957
à	0.137369464222	0.697438938352	0.126253339239	0.0103068545407	0.00418731610967	0.0020252690448	0.00158713754806	0.000463839990394	0.0203678231086
t	0.096102462074	0.727986889451	0.14447231108	0.00952104618023	0.00474273820322	0.000931300636933	0.00076644758902	0.000336993815598	0.0151398498462
i	0.054451214358	0.560286456484	0.344142201693	0.0213148247267	0.00505427136774	0.000569291952311	0.000493660569673	0.000293804839366	0.0133943482734
è	0.029862434786	0.270277885495	0.647870083898	0.0425090615756	0.00294949712258	0.000815771657437	0.000322321976558	0.000121314173955	0.0052716714158
n	0.0158467219287	0.160701728498	0.731517261299	0.0679319885252	0.0117738134075	0.00128817645248	0.000464535152186	0.000180874644652	0.0102948784719
a	0.00969445587623	0.0760224538327	0.7335639371	0.150007584175	0.0176982268025	0.00115804621749	0.000413405900729	0.000182239754551	0.0112595913906
p	0.00649823302541	0.0348463786109	0.6350434457	0.289147151392	0.0209427729342	0.00638487293916	0.00111642485024	9.91226361837e-05	0.0059215451302
r	0.0111694741751	0.0308794072036	0.4132395899	0.447229070464	0.0434932443114	0.0190557349797	0.00533485321675	0.00103975458373	0.0285588481434
à	0.0220246883917	0.0283109000679	0.2178932313	0.502570383488	0.123256021437	0.0620807433266	0.00729698850558	0.00138058121124	0.0351864703811
m	0.0298761107972	0.0199560090226	0.142119040433	0.389618671163	0.227488997146	0.0815431421089	0.00854301360186	0.00862661342041	0.092228439127
a	0.0228878359324	0.0134531915075	0.0975522544777	0.229989523721	0.324157365715	0.17860123837	0.0118396402006	0.0110546341768	0.110464367209
n	0.0131978183108	0.0109891670025	0.0732199971592	0.122904669907	0.325586751905	0.348289779457	0.0180927247335	0.00583899376227	0.081880129903
a	0.0111094812369	0.00995143223417	0.0545218690531	0.065490282969	0.226380773968	0.521043009819	0.0345927952445	0.00431330843742	0.0725970498677
s	0.0086097536123	0.00603018997806	0.0383314910177	0.0305670336563	0.144417789323	0.68133815994	0.0380714507482	0.00357947989581	0.0490546585226
t	0.0326616566041	0.00736789332602	0.0242434503392	0.0189168395521	0.0928379877743	0.56873645998	0.0535513972494	0.0615692261986	0.140115108174
u	0.039316766868	0.00690818087534	0.0150509044464	0.011585362184	0.0638622869248	0.495381159993	0.13660872575	0.0801665342662	0.151120082391
d	0.015658792956	0.00401357605845	0.0146853908155	0.00825810359467	0.0382655033083	0.612339119998	0.144377193917	0.0351120749554	0.127290233797
i	0.008225217652	0.00307937528615	0.0132636892718	0.00639361806489	0.0217285464361	0.541841439999	0.264227059972	0.0221564606518	0.119084564266
è	0.00505509321733	0.00225266112872	0.0094862819906	0.00420602962163	0.0122159882454	0.372524556666	0.525692806657	0.0177176872173	0.050848888422
t	0.00427120750578	0.00161233187624	0.0051814738302	0.00297846494054	0.0079928212818	0.286922768889	0.554666728886	0.0971323117391	0.0392419261407
s	0.0240962689353	0.00527177569208	0.0046657406434	0.00316911944685	0.00931674252727	0.20389625963	0.381230842962	0.223085547246	0.14526772138
i	0.0294224540451	0.00643394413069	0.00509116431447	0.00329441734895	0.00887242440909	0.11147307821	0.323713944321	0.267886655749	0.24381193046
è	0.010889967315	0.0028088243769	0.00414229777149	0.00253407648298	0.00516021053636	0.06195057007	0.38412201144	0.32480998525	0.203582073487
n	0.0105123746717	0.00225579722563	0.00740255992383	0.00363146922766	0.00578462267879	0.0419648723567	0.302196343813	0.47123846175	0.155013524496
a	0.0103671006572	0.00210515470854	0.00912346864128	0.00402171557589	0.0067260315596	0.0340809114522	0.202562377938	0.54135154725	0.189661724832
p	0.0055766384524	0.00171926783618	0.00756468721376	0.00334388635863	0.00463222608653	0.0204508263174	0.133730317979	0.538044369083	0.284937774944
r	0.0135177926175	0.00485633041206	0.00979207440459	0.00409966245288	0.00603856726218	0.0163442556058	0.061435977993	0.494427076361	0.389488244981
à	0.0153333893392	0.00555282248069	0.00795620723486	0.00336510328429	0.00603709548739	0.0138716203353	0.044413510331	0.51721530212	0.386254958327
m	0.00842716871307	0.00358188567023	0.00826854284495	0.00355045406143	0.0070995878958	0.0156436689118	0.0382838594437	0.632447500707	0.282697352776
a	0.00585775537102	0.00281721641008	0.00838633594832	0.00352080202048	0.00733788106527	0.0179458749706	0.0357398194812	0.505835886902	0.412558450925
</S>	0.00363046568551	0.00166927948504	0.00525185397416	0.00228046461024	0.00453300218264	0.0139741574853	0.0387608367406	0.342882273451	0.587017690462
