 	l'	ho	sentito	che	veniva	</S>
o	0.66066562	0.10768313115	0.17323425555	0.0153500241655	0.0005262134472	0.0425407189572
n	0.343858070667	0.15540214705	0.259070918517	0.0290134507218	0.00104564371573	0.211609752986
ì	0.146999448556	0.268356809017	0.289640206172	0.0392511095739	0.00117229092858	0.254580150995
k	0.0724183791853	0.316327459672	0.334864258724	0.114398559858	0.00304316616619	0.158948190332
u	0.0652154217284	0.205596261557	0.326795276241	0.282158119953	0.00393168348873	0.116303210111
s	0.0612490022428	0.135602126852	0.239739805414	0.459788806651	0.00447517869624	0.0991450467037
a	0.0291244244143	0.0776028786173	0.123954778471	0.67141323555	0.00631837856541	0.0915863181012
k	0.0172289838048	0.0614728745391	0.0519828738237	0.753864678517	0.00911409275514	0.106336525234
a	0.0266415649349	0.0669081148464	0.0282297002746	0.706987709506	0.0363074589184	0.134925461745
è	0.0386594549783	0.0537564916155	0.0247181354249	0.612297009835	0.158346521306	0.112222383915
r	0.0237620605594	0.0555849458718	0.0210047931416	0.479040406612	0.259921170435	0.160686597972
k	0.0160743290865	0.0913469706239	0.0358351183805	0.339438925537	0.370806830145	0.146497809324
a	0.0138393582622	0.084261368208	0.0386826324602	0.174846634512	0.546157876715	0.142212109775
t	0.00573666095407	0.035044166736	0.0175007714867	0.0828394451707	0.698495458905	0.160383469925
o	0.00463638528469	0.021157743912	0.0101909031622	0.0441950823902	0.601332542968	0.318487303308
</S>	0.00603724564235	0.019279125456	0.0076607440811	0.0355218156951	0.420417406484	0.511083601654
