 	i	genitori	non	li	dimentichiamo	mai	</S>
u	0.953294265	0.0162067391	0.009542603465	0.011936008205	0.00167993815665	0.00137545609585	0.005964892645
g	0.864587331667	0.0745511763667	0.0137706314883	0.0184790464017	0.00205764615222	0.00153885524862	0.025015222715
e	0.612953700556	0.313788588789	0.0160543854961	0.0226846364672	0.00115712536407	0.00071633979954	0.032645195905
n	0.358054616852	0.534740509596	0.0405478474987	0.0266450901557	0.000932898068023	0.00120692266651	0.0378721613017
i	0.319303272284	0.520793236532	0.100910359166	0.0222380577186	0.000928129956008	0.00137064757884	0.0344563390239
t	0.251857337428	0.520392878844	0.163135406389	0.0194738919062	0.000968275918669	0.00136478124961	0.0428074182646
ò	0.122390653143	0.455096746281	0.33776591213	0.0366417896354	0.00114357620622	0.0013344935432	0.0456267965715
r	0.080967690381	0.337031512094	0.44725713071	0.0553786398785	0.00252015390207	0.00714587050773	0.0696989660072
u	0.0914104854603	0.231206385698	0.362863320237	0.224074153293	0.00359412453402	0.00913240538591	0.0777190882291
e	0.0758766221534	0.0933134618993	0.270539223412	0.526561701098	0.00347748511134	0.00331675186864	0.0269147429697
n	0.0295824827178	0.0466780262998	0.224989107804	0.660480567033	0.0119108725371	0.00195672351288	0.0244022333232
è	0.0252953959059	0.0343056660999	0.185039595935	0.690387222344	0.0379334018457	0.00167969207096	0.0253590577744
n	0.023776612302	0.0238579790333	0.121594555312	0.622315490781	0.118931575282	0.034242674557	0.0552811609248
u	0.0179884091007	0.0162408733444	0.081816755104	0.561370146927	0.198824131761	0.049069658519	0.0746900403083
s	0.0138381445336	0.0113243098815	0.0492202637013	0.443079992309	0.34204185392	0.0492786898397	0.0912167534361
s	0.00992855567787	0.0080097020605	0.0268673181338	0.20103662577	0.52574898464	0.0824623716132	0.145946461145
c	0.0258327858926	0.0257018773535	0.0173099049446	0.157939610257	0.462406171547	0.161466380538	0.149343297048
e	0.127524368631	0.0459845791178	0.0391739106482	0.180109376752	0.308669377182	0.207459503513	0.091078929916
r	0.144018588344	0.0360866037059	0.0531158085494	0.135016778917	0.355111235727	0.187669661171	0.0889813542053
r	0.0670089229147	0.029369425902	0.0492625278498	0.081716329639	0.465363645242	0.199003567057	0.108275581402
è	0.0420875089716	0.0243055136673	0.0385060719499	0.0469066358797	0.385262995081	0.352344955686	0.110586307134
t	0.0160744754572	0.00941103402243	0.01747887745	0.0383136269599	0.36587857836	0.404327045229	0.148516345711
s	0.0104809382857	0.00512301544081	0.00985331345	0.02847603032	0.382527472787	0.42306088841	0.14047834857
u	0.00869530142857	0.00386070748027	0.00728796878333	0.0230723231067	0.211543357596	0.513485562803	0.232054832857
m	0.00610128700952	0.00318606062676	0.00595108039444	0.0372311703689	0.116200632532	0.455260077601	0.376069714286
e	0.00834991520317	0.00384424634225	0.00663671813148	0.0427252187896	0.0822895170107	0.497287892534	0.358866498095
m	0.00852444406772	0.00388618611408	0.00611619937716	0.0335923335965	0.0346536218369	0.592400854178	0.320826382698
à	0.00731610002257	0.00372692413803	0.00538065262572	0.0215853500988	0.016403452279	0.661406081393	0.284181430899
i	0.00585443784086	0.00315643747934	0.00425408640857	0.0127192225996	0.007777983893	0.608438487131	0.357799333633
</S>	0.00406144467043	0.00237717873967	0.00285142275429	0.0109667227998	0.0045915291465	0.497899858566	0.477251846817
