 	non	aveva	cosa	a	fare	</S>
e	0.894039035	0.08581363	0.00148968477	0.00106908463	0.00520157641785	0.01238703804
n	0.591052015	0.30770814	0.00337360769	0.00171171781	0.0169058121393	0.07924871468
ì	0.229670306333	0.642655413333	0.00459431443	0.00128382034	0.0235794160464	0.0982167288933
c	0.154070873444	0.541701243778	0.0381264812433	0.00268136831667	0.135584293015	0.127835773631
h	0.141473626481	0.238859127259	0.292594623748	0.00963072457222	0.180135718338	0.137306224877
e	0.0649893981603	0.13261757842	0.645493557916	0.0231552841907	0.0765187897793	0.057225397959
t	0.0243229584534	0.05121441064	0.725229352639	0.0504756857302	0.110187032926	0.0385705453197
i	0.0110304533511	0.0194275227467	0.475240254213	0.297632045243	0.160242027642	0.0364276711066
k	0.00678121651703	0.0509031382822	0.199398009738	0.368275908414	0.231687095881	0.142954599702
à	0.0749059687723	0.0672180307607	0.0983071495793	0.246960116138	0.309432818627	0.203175904901
m	0.0967064053374	0.0339824715869	0.0551073636931	0.214777852046	0.394403616209	0.205022299967
i	0.0342448418591	0.017332149429	0.0268950680644	0.107912061349	0.37647308207	0.437142826656
</S>	0.0199178374296	0.0093705980645	0.0190887705322	0.0696602266745	0.262529141035	0.619433463328
