 	nella	pasta	vuole	sale	</S>
s	0.90792105	0.01361094155	0.0052482066757	0.00311016901675	0.0701096652106
t	0.899016383333	0.0225040395167	0.00525256855057	0.00311079850375	0.0701162744202
i	0.907229561111	0.0640936511722	0.00230857237552	0.00136542379942	0.0250028129567
p	0.670784963704	0.305935267057	0.00327130182517	0.00123532733314	0.0187731297856
à	0.479066387901	0.437440032352	0.0582332919417	0.00273869837771	0.0225216299285
s	0.343726764967	0.429639287451	0.182353983981	0.0110570437926	0.0332229266428
t	0.173343390656	0.611159195817	0.17305236966	0.0121313435075	0.0303137169476
a	0.139589683552	0.728245565272	0.109865844887	0.00538580274583	0.0169131760492
t	0.0838005210173	0.490435722424	0.398867941629	0.00736032724861	0.0195355726831
è	0.0452545968391	0.174252103808	0.582272960543	0.169993187083	0.028227202561
l	0.0322247392464	0.0659078136027	0.610838686848	0.237309002361	0.0537197758537
i	0.0176937843821	0.0275456802009	0.492831054949	0.385904460787	0.0760250069512
à	0.015333819794	0.013519818067	0.17892079865	0.723434873596	0.0687906533171
l	0.00841838586467	0.00659502845567	0.0833127838833	0.842341457865	0.0593323231057
a	0.00426542965489	0.00412738575189	0.0474722862944	0.684254025955	0.259880865369
</S>	0.00383989847744	0.00395397212595	0.0289387656472	0.503796222977	0.459471147684
