 	venne	scritto	</S>
ì	0.56245965	0.37664674303	0.0608936235
r	0.29303704	0.598513734343	0.108449237833
t	0.280106876667	0.432767121448	0.287125999278
e	0.425679275556	0.209341073816	0.364979649759
g	0.353282841852	0.355955577939	0.290761573253
r	0.272173363951	0.375482412646	0.352344231084
a	0.326176061317	0.251802527549	0.422021437028
m	0.201145221106	0.424521489183	0.374333305676
m	0.0969314143687	0.463547536394	0.439521068559
è	0.0686410584562	0.273507282131	0.65785168952
n	0.0465101708187	0.42129571071	0.532194133173
o	0.0389509802729	0.448197848237	0.512851181058
</S>	0.0330179086365	0.243588961118	0.723393140529
