 	che	non	li	aspettiamo	</S>
n	0.60950945	0.070348551	0.0317413341	0.155115879529	0.13328482025
a	0.31499995	0.316392303667	0.0743695337	0.157170057176	0.13706817075
m	0.158732165	0.416687357889	0.140021104567	0.176504516392	0.108054880917
i	0.0933369133333	0.238343119296	0.386855461522	0.186232839464	0.095231661239
t	0.0539714971111	0.126963456432	0.417538558507	0.343065313821	0.0584611646797
u	0.0372520167037	0.0802763008107	0.398204124169	0.430088206274	0.0541793612266
s	0.0302549128012	0.0582196562702	0.388478116723	0.465029037091	0.0580182900755
m	0.0279222048337	0.0255992180901	0.408982097574	0.45896425903	0.0785322366918
ì	0.0363387699446	0.0273881713634	0.523356115858	0.24450433301	0.168412615564
n	0.0270602506482	0.0410138511211	0.478650771953	0.225463141003	0.227811961855
o	0.0586277875494	0.047459817707	0.389761730651	0.217548903668	0.286601713952
m	0.0650432122165	0.036933841069	0.20928485355	0.272923511223	0.415814554651
e	0.0343958554388	0.0221686871897	0.106734632517	0.253557643741	0.583143184884
</S>	0.0346224552194	0.0202891810948	0.0657860332585	0.17140575687	0.707896592442
