 	può	che	sono	ancora	svegli	</S>
i	0.9191951	0.00888769848	0.00347616207	0.0176159765	0.00678602219496	0.044038961257
s	0.84531692	0.0311389718267	0.0174491545233	0.0240683428333	0.00750457159832	0.0745219857523
ò	0.74486076	0.136445887276	0.0321200695078	0.0195373562778	0.00338654763277	0.0636493485841
z	0.507386056667	0.317625605759	0.0394263478359	0.0289403384259	0.00514637611092	0.101475236195
i	0.274900265556	0.34968271192	0.235316585945	0.0286796380086	0.00556879993664	0.105851983865
k	0.155537946185	0.36126973064	0.383750148648	0.0423903002029	0.00494488421188	0.0521070180883
a	0.112256586395	0.30890192788	0.470809369549	0.0683781367343	0.00474581329463	0.0349081737628
ì	0.107440812132	0.14700084696	0.573499873183	0.151397622245	0.00330182798888	0.0173590533209
n	0.0645477607107	0.10028787232	0.415542984394	0.360768974082	0.0238022739963	0.0350502004403
e	0.0583977835702	0.0681622341067	0.208508948131	0.591545468027	0.0298443543321	0.0435412228134
a	0.0608231588567	0.0388962307022	0.096633619377	0.609987156009	0.156541859777	0.0371179559378
n	0.0467963772856	0.0377915145674	0.051665604459	0.509502125336	0.296626619926	0.0576177476459
k	0.0840961490952	0.116526843189	0.0496873408197	0.404028141779	0.199820721309	0.145840822549
ò	0.0996626016984	0.134347253396	0.0442650576066	0.46861768726	0.0763632614363	0.176744162516
r	0.0557920182328	0.0651760467987	0.0358299138689	0.666702789087	0.0752267301454	0.101272478505
a	0.0639819150776	0.0411732055996	0.0338844632896	0.705023209696	0.0728439073818	0.0830932855017
a	0.0646735018925	0.0230917651999	0.0195139726632	0.472084875899	0.322382749794	0.0982531251672
t	0.0259893668308	0.0130776790666	0.00925997512107	0.168177831966	0.713487149931	0.0700079580557
s	0.0215414556103	0.0328880220222	0.0110085720404	0.0789591879887	0.58010257331	0.275500155685
ù	0.0270283718701	0.0470154156741	0.0151315783468	0.0511425373296	0.50093754777	0.358744524562
n	0.02386108729	0.0380834998914	0.0175225931156	0.0459805104432	0.70350783259	0.171044464187
n	0.04547792643	0.0747766579638	0.0311327063719	0.118192096814	0.587958610863	0.142462001396
i	0.0505715474767	0.0780709031213	0.029968500124	0.126811674271	0.437750926954	0.276826447132
t	0.0268034511589	0.0369041165071	0.0227140903747	0.0660132524237	0.561625398985	0.285939685711
i	0.0197174627196	0.0230165378357	0.0199822003249	0.0467577531412	0.469041404662	0.421484631904
</S>	0.0149714998598	0.0146606349178	0.0114223344625	0.0337528115706	0.252766434831	0.672426265952
