 	sto	e	cucino	</S>
e	0.898129515	0.0537700844	0.00855960661	0.039540702765
s	0.653528071667	0.125891668133	0.0117108517033	0.208869348922
t	0.473308257222	0.273206496044	0.0100465677344	0.243438667474
è	0.362638389074	0.529933748681	0.0104166529115	0.0970112019913
c	0.185805853025	0.55715703956	0.12281963597	0.134217468997
e	0.189589731008	0.39726384652	0.26247522199	0.150671199666
m	0.194290007003	0.474375625507	0.220401193997	0.110933183222
a	0.124472239001	0.410705723502	0.342975901332	0.121846157741
r	0.082361350667	0.230068332834	0.442133050444	0.24543727258
è	0.066384447889	0.173180307611	0.472155726815	0.288279527527
o	0.0496368755297	0.0857701808703	0.510100618938	0.354492345842
</S>	0.0259788871149	0.0468746279352	0.424327359469	0.502819142921
