 	io	dopo	torno	vecchia	vendo	mia	casa	che	ho	Venezia	a	Venezia	e	vengo	da	vivere	qui	a	Kalimara	</S>
e	0.805238475	0.10853994425	0.06668669135	0.0010219603728	0.0039902425355	0.0047387781163	0.0019332191015	0.0014325064131	0.00299633599425	0.00058123870375	0.000755343737425	0.00039819818975	0.000310702382395	0.00025927249657	0.0002440290161	0.000212922590885	8.7091512598e-05	0.00017906340748	1.9338291315e-05	0.0003746448442
v	0.545031858333	0.32831717475	0.106654143783	0.00105230273427	0.0041512208585	0.0048256587621	0.00199392161383	0.00144914965437	0.00302660695808	0.00059120524225	0.000762115505808	0.000403287277583	0.000313950087132	0.000261723752857	0.0002465493417	0.000214581308295	8.7752044866e-05	0.00018072140296	2.00168437717e-05	0.0004160572114
ò	0.344571429444	0.539516771583	0.105462544594	0.000685640521423	0.0027454497995	0.0024537428107	0.000913888697943	0.000639017968123	0.00138550114603	0.00026968987175	0.000309049481936	0.000163134575194	0.000120293403711	9.63851362857e-05	9.24275529e-05	7.96124274317e-05	3.13215859553e-05	6.519929912e-05	8.5015494239e-06	0.0003904106438
d	0.234091574815	0.501393487194	0.247647898198	0.00170191157381	0.00345139429983	0.00199518670357	0.000681999779314	0.000603590556041	0.00102362390201	0.000432235920583	0.000235729493979	0.000160336910065	8.5654576237e-05	0.000125083763429	6.45903503e-05	4.60184841439e-05	2.10483869851e-05	5.83873173733e-05	1.08523046413e-05	0.00616945598127
ò	0.127278339938	0.582235155731	0.274644753399	0.00176558207127	0.00254290920661	0.00112306800119	0.000426143237438	0.000459051504347	0.000565462401337	0.000425907045561	0.000163960721393	0.000136499854622	6.20032775457e-05	0.00012814551252	4.777500758e-05	2.85971511813e-05	1.62837186434e-05	5.29369108778e-05	1.06077658704e-05	0.00788682842269
p	0.068181293646	0.625273735244	0.298378638466	0.00112412343709	0.00179546690887	0.00076967093373	0.000290795233479	0.000299139797116	0.000286398747779	0.00019925438722	8.58528951977e-05	7.05832461407e-05	3.08503266486e-05	6.238378355e-05	2.39512266733e-05	1.25583631938e-05	7.9660970628e-06	2.90798120459e-05	5.27903728013e-06	0.00307294686983
o	0.058152586882	0.492848485081	0.441990589489	0.00141030651236	0.00205304660296	0.000897609211243	0.00032554932116	0.000261354279039	0.00022088314926	0.000132446581407	6.23408520659e-05	5.30862923802e-05	2.08420101495e-05	4.06955369167e-05	1.61799891244e-05	7.38516068127e-06	5.21537977093e-06	2.1278837482e-05	3.54118918004e-06	0.00147661743994
j	0.0537956146273	0.338197085694	0.60096543983	0.00218459763745	0.00182945486765	0.000946860470414	0.000394691157053	0.000320848196346	0.00023269573642	0.000118418426136	6.7622683022e-05	6.80364511267e-05	2.29368169832e-05	5.51591800389e-05	1.59284156081e-05	6.94279651042e-06	5.78540247364e-06	1.57077526273e-05	5.35100998001e-06	0.00075085901998
u	0.175291655209	0.256029862565	0.55812412661	0.00413942244582	0.00239048005588	0.00162085759014	0.000612796582351	0.000545524365449	0.000327721708807	0.000111550988712	7.9286687674e-05	7.28262263756e-05	2.68787339944e-05	6.1438827013e-05	1.73771600694e-05	7.15480960347e-06	6.46262179121e-06	1.63794672091e-05	6.64986326e-06	0.000511546517993
r	0.21499452197	0.225413764188	0.539036745537	0.0116213531486	0.00315430828529	0.00221324936338	0.000913422440784	0.000720331688483	0.000503017212936	0.000302356366237	0.000127387255891	0.000201064964792	3.94992119981e-05	7.52962260043e-05	2.38859268898e-05	1.08428046345e-05	6.9966372304e-06	1.7035081403e-05	5.95629318667e-06	0.000618955960664
ì	0.131929687557	0.149701121396	0.583665678512	0.0884644090495	0.0236075458951	0.0124727067878	0.00308661204693	0.00257399866283	0.00217879347098	0.000449298272079	0.000337411041964	0.000280239074931	9.21759873327e-05	0.000131909882001	5.80862149633e-05	2.13480562115e-05	1.31240480768e-05	3.48394664677e-05	8.07369572889e-06	0.000892954486888
z	0.104059306419	0.115277838799	0.595032009504	0.12360565635	0.0314781016317	0.0163962739293	0.00397006078231	0.00355755988761	0.00297753429033	0.000384468544026	0.000458594737321	0.000233081944977	0.000116099172444	0.000173533017334	7.00527783211e-05	2.50234014038e-05	1.50727033589e-05	4.67333354892e-05	1.1188001243e-05	0.00211184902896
o	0.096488079373	0.0961689445997	0.536875036501	0.112116662117	0.111545933544	0.0287359183098	0.00660270002744	0.00416710029587	0.00360796173011	0.000360882801342	0.00043911611244	0.000219592188326	9.77855024813e-05	0.000139820504778	5.0777421107e-05	2.08541011346e-05	1.05782511196e-05	3.85246344964e-05	1.0220582081e-05	0.00230353839965
v	0.0949049893577	0.101437062867	0.3162222255	0.270952234039	0.147856102515	0.0394076524366	0.0144726586758	0.00550581989862	0.00520255301004	0.000572271533781	0.000821651714147	0.000413995969442	0.000262290702494	0.000146775667259	0.000116672020369	7.00448877115e-05	2.20170037065e-05	7.38275008321e-05	1.67714203603e-05	0.00152239878988
e	0.0366454066859	0.0551512499557	0.209528875333	0.409051268013	0.218802168838	0.0398207904789	0.0153153760586	0.00491337186621	0.00605950833668	0.000836106654594	0.00113584483805	0.000589374069814	0.000330736752831	0.00015374871042	0.000144684123456	9.67294625705e-05	2.60540720022e-05	8.8781976944e-05	1.84555023868e-05	0.00129146084996
k	0.015809939462	0.0234429521852	0.0841642762777	0.582722056004	0.236163619613	0.0343114321596	0.00927764341953	0.00370027502207	0.00532006141223	0.00117353176153	0.00100173437935	0.000766018803271	0.00023158625961	0.00017782654814	0.000103195371152	6.62565408568e-05	1.63007211007e-05	5.8672314648e-05	1.17128783956e-05	0.00148088520332
k	0.040192598054	0.0246656285951	0.0512485030926	0.550576135335	0.137134046538	0.0555358993865	0.0385055490398	0.0553779833074	0.0226840057707	0.00423679562051	0.00516024779312	0.00327620023442	0.00196466151987	0.00118377297271	0.00145721377705	0.000687867566952	0.000339775195034	0.00119896428388	0.000665961548799	0.00390815746777
i	0.0529101933513	0.025511071965	0.0316275148309	0.248621129445	0.373368692179	0.0877884931288	0.0499200773466	0.0731157995358	0.0289625763569	0.00469837152684	0.00639748409104	0.00372632921647	0.00248903426462	0.00141193936357	0.00188391122568	0.000882609534984	0.000443390818345	0.00157367619796	0.000880144354866	0.00378754481592
a	0.0229213846838	0.0115490746883	0.0127945674103	0.160857514148	0.64014626406	0.0788936377096	0.0232826821155	0.0263247261453	0.011976132119	0.00250745792895	0.00244857765701	0.00161585424382	0.000885383716207	0.00048949748519	0.00065331861856	0.000316514652661	0.000150992747782	0.000542685345987	0.000294755625389	0.00134898563197
r	0.00844450042793	0.00653870596277	0.0129317984701	0.342135588049	0.525786421353	0.0591554059032	0.0155389412052	0.0113398675818	0.00714882393967	0.00377161207632	0.00173996518567	0.00199853811461	0.000543268595402	0.000427955053063	0.00033593783952	0.000176893712554	6.36775162607e-05	0.000228872611996	0.000105870941963	0.00158735897732
è	0.00436768284264	0.00494855172092	0.0120451860234	0.36297314735	0.502668293784	0.0727092786344	0.0165859255684	0.00709175219393	0.00569822264656	0.00373437765877	0.00178693279522	0.00199461900487	0.000519477005134	0.000471076817688	0.000280048273173	0.000133909683518	4.06469874202e-05	0.000154617155999	4.37839261877e-05	0.00175248125244
d	0.00301767648088	0.00307733037364	0.00608590087447	0.248210567117	0.608017317928	0.0885189862115	0.0186875161895	0.00650463206464	0.00597539188219	0.00340696618626	0.00217059799841	0.00167827120162	0.000597894121711	0.000628075739229	0.000297558994391	0.000157317850506	3.84081558067e-05	0.000185134470666	3.08542759292e-05	0.00271365307748
d	0.0126885209603	0.00602032699121	0.00490053455816	0.219958664039	0.507623405976	0.109471768737	0.0468007763965	0.0370239066882	0.0156058946274	0.00381178736209	0.00528952466614	0.00220282080054	0.00260584604057	0.00160476521308	0.00180315509813	0.000841193760169	0.000732281408602	0.00290699911022	0.00168010711198	0.0164277630258
a	0.0156796956534	0.0063003998104	0.00278408287605	0.10625158368	0.453047088659	0.225873829579	0.0809076254655	0.0482979438961	0.0175625029758	0.00242351068736	0.00543215917538	0.00166559511018	0.00303087303352	0.00154688919669	0.00219191054271	0.00100123511672	0.000952654966201	0.00373949542541	0.00221668411539	0.0190942743353
p	0.0058467984178	0.0037842859168	0.00565111571535	0.06097952656	0.517358082886	0.260287753193	0.0877536884885	0.0234713119654	0.0102137330919	0.00214963249579	0.00333449601179	0.00131054694673	0.00196160009784	0.00105538879123	0.00136258385757	0.00119271913557	0.0006551511854	0.0018721981638	0.00100785664986	0.00875157637177
u	0.00255890342593	0.0029340374556	0.00660709047178	0.04527666882	0.466586487629	0.299858817731	0.120453266163	0.0232020773218	0.0115374460306	0.00334101316526	0.00312483430393	0.00170316118224	0.00167941311928	0.000911144335077	0.00112331665586	0.00131305574519	0.000564762156133	0.00127539946793	0.00060704967762	0.00534205562392
l	0.00185493556198	0.0037050901352	0.00920624539059	0.04646978024	0.35161518921	0.336531232577	0.157594658721	0.0284068151073	0.0160872210102	0.0106829447218	0.00501397106798	0.00510521802741	0.00255847995976	0.00190118538303	0.00167241135529	0.00139978241506	0.000555440113044	0.00133440433598	0.000393876400207	0.0179110947746
ò	0.00175634735399	0.0040487942784	0.0100073013635	0.04657917793	0.251165754737	0.305463970859	0.23580941624	0.0586339117024	0.0225532043367	0.0147713884073	0.00788114068933	0.00689721744247	0.00362197031992	0.00268617432768	0.00214528351843	0.00147667098502	0.000605717084348	0.00146146801199	0.000324316424069	0.0221107518815
s	0.001891377118	0.0028002708928	0.00499835868783	0.0223049598267	0.186841553246	0.336599256953	0.287019888747	0.0733110589008	0.0259835617789	0.0187405896358	0.00865194589644	0.00731668991416	0.00324896100664	0.00249742417589	0.00164776157281	0.00105279794167	0.000402247664783	0.00106757437066	0.000196291842023	0.0134274009172
p	0.006851485206	0.00378552636427	0.00376344662928	0.0148192578756	0.158001127749	0.317076038984	0.303767842916	0.0946844463003	0.0242218249263	0.0183574470786	0.00882797096548	0.00711558983805	0.00421751573555	0.00296943265863	0.0028142439576	0.00201247121389	0.00208042001159	0.00431139865689	0.00224024180401	0.0180822519724
ì	0.00795038976867	0.00297733591142	0.00181379497643	0.00633105289187	0.0947754082497	0.289218956328	0.353322617639	0.148097728767	0.0340376103088	0.0108851498929	0.00821502132183	0.00449316224602	0.00461484284518	0.00227715748621	0.00309203868587	0.00226575080463	0.00278319360386	0.00512271677896	0.00292030827467	0.0148057805908
t	0.00562381395622	0.00649591859381	0.00483194802548	0.0118087552973	0.0824239464166	0.256826305443	0.38655144588	0.132534626256	0.0395573987696	0.0113361842976	0.00853167177394	0.00454581434867	0.00527822271506	0.00275543606207	0.00319910626196	0.00271126980154	0.00258787346795	0.00394297561965	0.00353178776489	0.0249255251303
i	0.00481407985207	0.00763560887794	0.00580240198349	0.0131158780958	0.0596877440055	0.160120984481	0.307025408627	0.251513085419	0.10138826959	0.00895424893253	0.0179888349246	0.00423457254956	0.00851963490502	0.00401224552069	0.00412139325399	0.00289821856718	0.00339332942265	0.00368820531988	0.00378454734496	0.0273013356201
m	0.00261072825069	0.00416745263931	0.00406411963616	0.00856491636193	0.0378340218685	0.101133537494	0.289214856209	0.296716468473	0.12596186553	0.0377963031442	0.0239044713082	0.0146237554499	0.0112793743017	0.00443408584023	0.00483393048466	0.00445920268906	0.00357320220755	0.00254432241996	0.00209837060499	0.0201850501167
