 	non	ha	da	mangiare	</S>
e	0.9141975	0.039369018	0.0152163268	0.010544953782	0.02067212895
n	0.669223213333	0.151609269333	0.0358872942667	0.0138675999273	0.12941258165
è	0.336585784444	0.376140743111	0.114793758089	0.0102692509758	0.162210411883
c	0.163807624815	0.36152297937	0.163056259363	0.0223194889919	0.289293595294
h	0.134439658272	0.18253605479	0.289598079788	0.040336658664	0.353089540431
i	0.108391494091	0.124312208263	0.553118293263	0.0488199122213	0.165358107477
n	0.0474875880303	0.079651228421	0.632056097754	0.0974408887404	0.143364197826
a	0.0287926660101	0.0512153684737	0.447772109251	0.342264902913	0.129954926942
f	0.0182389252034	0.0384201078246	0.240415196417	0.527150567638	0.175775173314
à	0.0280371536011	0.0336601202749	0.135577733806	0.607707889213	0.195017073438
i	0.0309604695004	0.0264436930916	0.067074117602	0.557627013071	0.317894673479
</S>	0.0161544472002	0.0153391370458	0.039541390801	0.411501731536	0.517463256739
