 	qui	ancora	stanno	con	la	luce	accesa	e	stanno	svegli	</S>
e	0.860533375	0.05497252925	0.045463902783	0.006610309465	0.0132808269465	0.0130224839098	0.00120461866023	0.00166142471754	0.00104963533085	0.000167940307739	0.00203294067651
t	0.795199321667	0.0934951764167	0.0543801849277	0.00951630482167	0.0172648163155	0.0135920270699	0.00146871172008	0.00185942757251	0.00130256937695	0.000280385949246	0.0116410580588
t	0.799361003889	0.100504305472	0.0482969989759	0.0183380829406	0.0123246296718	0.0051457253133	0.000804225106693	0.00082964852417	0.000691872921983	0.000206011877972	0.0134974507426
ù	0.605521241296	0.288783005157	0.072023612992	0.0189095465135	0.0074205175906	0.00184566178443	0.000340196740231	0.000300244214723	0.000240072222828	6.8894912604e-05	0.00454699275053
a	0.279264983765	0.616960385052	0.0873668989973	0.0075772893045	0.0042761697302	0.00109791015148	0.000195847188077	0.000195670978241	0.000167614143443	5.0638737258e-05	0.00284663213018
n	0.107626087255	0.761847488351	0.0942447743324	0.00545886936817	0.00503064881007	0.00161876885049	0.000337641232692	0.000443219559414	0.000430926931148	0.000398345040419	0.0225632641434
k	0.0915057684183	0.53519106945	0.251102748111	0.0633246351227	0.0268210811034	0.00180172641683	0.000812856977564	0.000557120286471	0.000488056280383	0.000488941270673	0.0279060106078
ò	0.100190307806	0.367628019817	0.401511502704	0.0867679243742	0.0320453335678	0.00102160831294	0.000770336527188	0.000305962244824	0.000217567689794	0.000165256673868	0.00937621092927
r	0.0663508169353	0.511892106606	0.335988107568	0.0423143757914	0.0188168377226	0.00224355114498	0.0019867758104	0.00143568559761	0.000736363922931	0.0019494519844	0.0162859821431
a	0.0404570746451	0.410677717535	0.390432635856	0.111794513597	0.0176581142409	0.00271064118833	0.0024159391268	0.0018152769412	0.000911762941644	0.00254423652397	0.018582148186
s	0.0238771390817	0.200603767845	0.531325868619	0.153979267866	0.0343397064136	0.00909997993611	0.00491858579893	0.00252599395573	0.000939789081215	0.00305112380382	0.0353388215337
