 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.7636009	0.2326072626	0.0011082497445	0.000815964016	0.0001139565626	7.26871713e-05	0.0016809125423
ò	0.717263756667	0.275130650867	0.00276457151483	0.00115594433867	0.000181326877533	0.000143856113767	0.00335988394743
p	0.666646918889	0.313578200289	0.00318709003828	0.00279153984622	0.000351129685844	0.000458900651256	0.0129862433158
u	0.430312596296	0.548162206763	0.00307464364609	0.00307067988207	0.000341904778281	0.000493228688252	0.0145447633719
o	0.213453158099	0.773928688921	0.0060698316487	0.00118789126069	0.000131964631094	0.000167513435184	0.0050609203773
G	0.1171210987	0.873606806307	0.0059727896829	0.00116546012023	0.000103423715698	8.0626651328e-05	0.00194975811243
i	0.376622419567	0.617038018769	0.00372390936097	0.00165874044008	0.000154001331899	6.14035431093e-05	0.000741474311477
o	0.441959383189	0.53015518959	0.025873762787	0.00139013310003	0.0001948089373	3.81686893698e-05	0.000388569521159
v	0.182131602063	0.714593939863	0.0988198475957	0.00297341015334	0.000392026615767	5.23420621233e-05	0.00103688831705
à	0.0913345363543	0.494457744288	0.403173019199	0.00652118928445	0.00106729149192	0.000120125645708	0.00332608790568
n	0.0519012304514	0.199090219096	0.6097259064	0.0184842517615	0.018102759664	0.0220176439286	0.0806779644352
n	0.120740810484	0.101884727699	0.405923842133	0.0368406312538	0.0771217912213	0.0885034846429	0.168984681478
i	0.170854173495	0.0655842338997	0.355306620711	0.0995039210846	0.0889084520738	0.0892974932476	0.130545070493
j	0.090059501165	0.1298858613	0.396782106904	0.160270523695	0.0674778956913	0.0477233894492	0.107800700164
ù	0.0510510183883	0.127840758767	0.244614896968	0.365878237898	0.0848496652304	0.0338427977164	0.0919226147547
r	0.0372506284628	0.0645766612557	0.127241396989	0.514718819299	0.0914221617435	0.0445561938055	0.120234119618
i	0.0246064394876	0.0453919354186	0.0822313443297	0.412000396433	0.241794377248	0.0560932926018	0.137882185873
s	0.0200913083292	0.0276704044729	0.0503095487766	0.452554248811	0.284294355749	0.0532824142006	0.111797707958
e	0.0162606502764	0.0227137251576	0.0386796949255	0.409125032937	0.32713164525	0.0761628387335	0.109926439319
è	0.0192782714255	0.0148865500525	0.0354127999752	0.243978680979	0.439868525083	0.152788424911	0.0937867931063
s	0.0127724454752	0.0117218486842	0.0204393359917	0.16669452366	0.329682061694	0.353630861637	0.105058944369
s	0.0087711981584	0.00777294022807	0.0122774363306	0.10517597922	0.246682533898	0.469178913879	0.150140988123
u	0.00740658478613	0.00396815590936	0.00923281784353	0.0693547830733	0.189426831299	0.419231484626	0.301379332708
</S>	0.00505985349306	0.00283394520468	0.00811086252176	0.0468370345366	0.14450826565	0.388324072313	0.404325966354
