 	vado	vestito	</S>
i	0.97764405	0.008862813685	0.01349310425
p	0.930025766667	0.0169174752283	0.0530567294167
à	0.842547538889	0.0799247917428	0.0775276364722
o	0.532011973963	0.413517003914	0.0544710301574
n	0.191281691988	0.697695337971	0.111023004719
d	0.339297336996	0.509203952657	0.151498741573
i	0.416445925665	0.317109344219	0.266444737191
m	0.177846860322	0.39337231474	0.42878080573
è	0.074358151874	0.412139538247	0.513502328577
n	0.0410721782913	0.544513446082	0.414414396192
o	0.0216029890971	0.499030996027	0.479366018731
</S>	0.0193834375486	0.269915519014	0.710701059365
