 	non	aveva	da	stare	</S>
e	0.8948781	0.0869906279	0.0051659095635	0.001874156414	0.011091301545
n	0.604564743333	0.3164998693	0.0070881148545	0.00255160327133	0.069295715515
ì	0.246407760444	0.657825656433	0.00737491661817	0.00324032109044	0.0851513411717
c	0.156275046148	0.552717157144	0.0477458475394	0.0212832245635	0.221978713057
h	0.199295488716	0.362371100715	0.0992589925131	0.0615364781878	0.277537935352
e	0.146889715572	0.300392391238	0.369807434171	0.0620483993959	0.120862059451
n	0.0604984971907	0.121650612079	0.647796724724	0.092606183132	0.0774479764837
a	0.0348411403969	0.0506395309597	0.598216851575	0.246824551044	0.0694779354946
s	0.0194740292323	0.0340391999199	0.401692600525	0.452495543681	0.0922986484982
t	0.0260165678441	0.02794864564	0.270410706842	0.479958637894	0.195665459499
a	0.0282502834147	0.01184380038	0.202204650281	0.461422735965	0.296278569833
s	0.00970049602157	0.00905048962667	0.098180707427	0.621747301988	0.261321019944
ì	0.00419090535719	0.00841593620889	0.0447452441423	0.620047307329	0.322600596648
</S>	0.00340861007859	0.00699034760445	0.0309737205711	0.516671228664	0.441956098324
