 	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
t	0.933926025	0.003787251	0.00127262013	0.04045189277	0.00317085907	0.0081681790103	0.00189905100313	0.0013668162843	0.00047204306631	0.000220814815095	0.00526447650583
a	0.926322391667	0.0050573279	0.00151144622333	0.0456976739233	0.00348369007	0.00857154023677	0.00195435024104	0.00139217670143	0.00047907809177	0.000227049300365	0.00530323179061
p	0.857747330556	0.0252206598667	0.00781578935444	0.0940827576411	0.00503331673667	0.00450981051226	0.00108516412035	0.000534323617143	0.000216898436923	0.000104580888788	0.00364928041887
e	0.716965310185	0.126727986622	0.0133660444515	0.12954315588	0.00582902937889	0.00313719233742	0.00077343247345	0.000283026182381	0.000134172773308	6.37730672627e-05	0.00317682808629
t	0.495773863395	0.253943402207	0.0477493128172	0.163616385293	0.0268310049263	0.00497643707914	0.000805889324483	0.00075045062746	0.000336664518769	0.000170132576754	0.00504647377543
ì	0.280416161132	0.380399140736	0.123541034272	0.168410271764	0.0341083621421	0.00532311947638	0.000790587945494	0.000855539006487	0.000395751511923	0.000201559586751	0.00555850401214
a	0.162115798377	0.337809191912	0.165515568091	0.272040013921	0.0548800245474	0.00377235760879	0.000834645352498	0.000333821024162	0.000194260159641	0.00010317995675	0.00240118055771
e	0.0591198757923	0.147520463137	0.119547397364	0.582761337974	0.0840451195158	0.0041285064696	0.00110658948417	0.000157480851054	0.00013346939588	7.39834099167e-05	0.00140576450257
s	0.0242264947641	0.0648063542123	0.0856278771213	0.701502045991	0.110990564505	0.00749847275653	0.00113171752806	0.000239130235351	0.00015061150796	0.000154686537639	0.00367195368419
ò	0.0217265594214	0.0465148850708	0.124711175707	0.651060781997	0.136574931502	0.0115279275855	0.00181531444269	0.000320988545117	0.000260861702653	0.00027335608588	0.00521314512806
z	0.0198450386405	0.0502025830236	0.121034483569	0.533493753999	0.235781870501	0.0142332675285	0.00287705414756	0.000802454715039	0.000992631500884	0.00200634043529	0.0187305079427
u	0.00947174694683	0.0388307960079	0.0623632590563	0.347573111333	0.467883556834	0.0420725755095	0.00465586624919	0.000974196675013	0.00118857707363	0.00251028847843	0.0224760290342
n	0.00489547178228	0.0210482970026	0.0281172592188	0.242977350444	0.603495548945	0.0667696485032	0.00603279108306	0.00183390082834	0.00159277296454	0.00167394375948	0.0215630227314
e	0.00293548122743	0.0148522048009	0.0161237603063	0.155593694648	0.652194782982	0.120239686168	0.0113242026944	0.00226318883278	0.00181534102818	0.00142257725649	0.0212350999205
f	0.00210868364248	0.0114712474003	0.0096201590021	0.090296532716	0.664618707661	0.176435618723	0.0158070285648	0.00342194473426	0.00270501068273	0.0017171522555	0.0217979343168
à	0.00432059038083	0.0121063986334	0.0097848910007	0.0691676849053	0.557916672554	0.287026376241	0.0240296688549	0.00551218234475	0.00518578312758	0.0023140070185	0.0226357454389
i	0.00470333946028	0.00755097811113	0.0062163174169	0.0314594609684	0.340681487518	0.505576578747	0.049756481285	0.0279780933149	0.0128511092759	0.00375669000617	0.0094694472463
t	0.00190510318676	0.00527587517038	0.00293365338897	0.0213198389895	0.178548519173	0.648309692916	0.0582216554283	0.048507771105	0.016664371092	0.00472690110206	0.0135866025154
o	0.00097909960892	0.00453937815679	0.00181014700632	0.0157713989298	0.107005675391	0.625646384305	0.155631746809	0.056492649035	0.0147398260307	0.00332137313402	0.0140623251051
g	0.000895649116307	0.00655907775226	0.00203232314544	0.0103161087433	0.0492584751303	0.539228581435	0.243126348936	0.107841201678	0.0226735730102	0.00588616737801	0.0121825003017
e	0.0012684224721	0.00837801131742	0.00250577051515	0.00926673021443	0.0333165287101	0.419345593812	0.336610749645	0.135901090559	0.0314035910034	0.00702243705934	0.0149810522672
l	0.0015807744907	0.0162015015058	0.00244874727172	0.0105133002048	0.0272758262367	0.273059031271	0.314319367215	0.217396196853	0.0326696753345	0.00488254248645	0.0996530285891
à	0.00137827973023	0.0174605393019	0.00214352825724	0.00975315806827	0.0169337151122	0.149559295757	0.229456719738	0.242270548951	0.196651048445	0.00888611569548	0.125507082196
t	0.00141706067674	0.0196234929006	0.00209787995241	0.00615166268942	0.0084763676374	0.0831882605857	0.220960696579	0.279021492984	0.286729426148	0.0227079335652	0.0696257733987
o	0.00144242123558	0.0204443122669	0.0020755625508	0.00515621739647	0.00686365177913	0.0639970768619	0.177063875526	0.306847060995	0.312373252049	0.0416113168551	0.0621252697996
p	0.000961558875193	0.010742391389	0.0013590624836	0.00334141469882	0.00518301325971	0.0371158502873	0.140265908509	0.328785883665	0.338443174016	0.0442006916184	0.0896010519332
r	0.00321063324506	0.049091078463	0.00269474922787	0.00412912843294	0.00390183195324	0.0245656434291	0.0630028661697	0.458755851222	0.201017676005	0.0286121318728	0.161018413978
ì	0.00406451031502	0.0587571974543	0.00307673640929	0.00342314444431	0.00324804635108	0.0149233244764	0.0413972720566	0.338589247074	0.281370486668	0.107511913291	0.143638117993
m	0.00389728933834	0.0475164337848	0.0040828899031	0.00518655898144	0.00283634241703	0.0120656871588	0.0382270453522	0.225736402358	0.348593175556	0.171438072764	0.140420102664
a	0.00403883081278	0.0440765827616	0.0046594831677	0.00605335332715	0.00446160470568	0.0158622323863	0.0550452551174	0.185765756119	0.258224361852	0.214680399255	0.207132147555
k	0.00424981197093	0.0625229424205	0.0050055922559	0.0104164257757	0.00589933153523	0.0176751054621	0.0587076837058	0.120399760706	0.211777093951	0.223725179752	0.279621092518
a	0.00504071632364	0.0704696872402	0.00654348765197	0.0123618092586	0.00962368971174	0.018013145154	0.0749704412353	0.091972614902	0.16402821465	0.254031609917	0.292944597506
n	0.00647919377455	0.105468668847	0.00933745778399	0.0157845897529	0.0136329715706	0.0221479340513	0.0805607457451	0.054467788634	0.122714578217	0.310825219972	0.258580832502
a	0.00712327402485	0.117300157116	0.010257579828	0.017181229451	0.0142055405235	0.0209636476838	0.054791513915	0.0397680982113	0.0913515160723	0.359110463324	0.267946964167
f	0.00649499244162	0.0984765032053	0.0107109335093	0.0182162133503	0.0130328955078	0.0173918705613	0.0467231239717	0.0314435880704	0.0803372586908	0.408033141108	0.269139474722
à	0.00618300071387	0.0911223556351	0.0101103837364	0.0183654637834	0.00910635863593	0.0142358560538	0.0246705386572	0.0287000056901	0.0636125495636	0.442541333703	0.291352131574
n	0.00714459113796	0.0674979597784	0.0128565928121	0.0166574685945	0.00587605984531	0.0093020988846	0.0134800441191	0.0196687778967	0.0450403385212	0.534971511234	0.267504533858
e	0.00645895574599	0.0585610379261	0.0129629505707	0.0152823731648	0.0045834706151	0.0074651428282	0.0152236329397	0.0159655928322	0.0351709275071	0.435199830411	0.393126074619
</S>	0.003680903423	0.0300712209631	0.00717146273535	0.0080327950324	0.00403644755755	0.0055956602141	0.0204462189699	0.0103408337161	0.0329789927535	0.308535155206	0.569110307309
